indicator,description,data_category,class,type,unit,sources,update_frequency
pop_old,"Population, older adults (as defined by country)",Entity characteristics,Numeric,Direct figure,Individuals,UNPOP / eJRF,Periodically
pop_u18,"Population, under age 18",Entity characteristics,Numeric,Direct figure,Individuals,UNPOP,Annually
pu_del_rem,Doses estimated remaining,Product utilization,Numeric,Calculation,Doses,UNICEF MDB; WHO COVmart,Monthly
pu_del_rem_per,"Doses estimated remaining, as percentage of total population",Product utilization,Numeric,Calculation,Percentage of total population,UNICEF MDB; WHO COVmart,Monthly
pu_used_per,Percentage of doses delivered having been administered,Product utilization,Numeric,Calculation,Percentage of total population,UNICEF MDB; WHO COVmart,Monthly
region_unicef,UNICEF region,Entity characteristics,Character,Direct figure,N/A,UNICEF,Periodically
region_who,WHO region,Entity characteristics,Character,Direct figure,N/A,WHO,Periodically
ri_dtp1,"Children having received a first dose of a DTP-containing vaccine, as percentage of cohort of eligible infants",Routine coverage,Numeric,Direct figure,Percentage,WUENIC 2022,Annually
ri_dtp3,"Children having received a third dose of a DTP-containing vaccine, as percentage of cohort of eligible infants",Routine coverage,Numeric,Direct figure,Percentage,WUENIC 2022,Annually
ri_mcv1,"Children having received a first dose of a measles-containing vaccine, as percentage of cohort of eligible infants",Routine coverage,Numeric,Direct figure,Percentage,WUENIC 2022,Annually
ri_mcv2,"Children having received a second doses of a measles-containing vaccine, as percentage of cohort of eligible infants",Routine coverage,Numeric,Direct figure,Percentage,WUENIC 2022,Annually
ri_zero_dose,Children not having received any dose of a DTP-containing vaccine,Routine coverage,Numeric,Direct figure,Percentage,WUENIC 2022,Annually
status_covax,COVAX participation modality,Entity characteristics,Character,Direct figure,N/A,COVAX Facility,Periodically
status_csc,COVID-19 Vaccine Delivery Partnership Concerted Support Status,Entity characteristics,Character,Direct figure,N/A,COVDP,Periodically
status_who,WHO legal status of reporting entity,Entity characteristics,Character,Direct figure,N/A,WHO,Periodically
t10_status,Status of progress against 10% coverage target,Population coverage,Character,Calculation,N/A,WHO COVmart; UNPOP,Monthly
t20_status,Status of progress against 20% coverage target,Population coverage,Character,Calculation,N/A,WHO COVmart; UNPOP,Monthly
t40_cour_need_adm,Additional vaccine courses needing to be administered to reach 40% coverage target,Administration,Numeric,Calculation,Courses,WHO COVmart,Monthly
t40_cour_need_del,Additional vaccine courses needing to be received to reach 40% coverage target,Supply received,Numeric,Calculation,Courses,UNICEF MDB,Monthly
t40_cour_req,"Total number of vaccine courses required to vaccinate 40% of total population with a complete primary series, including a standard assumption of 10% dose wastage",Entity characteristics,Numeric,Calculation,Courses,UNPOP,Annually
t40_status,Status of progress against 40% coverage target,Population coverage,Character,Calculation,N/A,WHO COVmart; UNPOP,Monthly
t70_cour_need_adm,Additional vaccine courses needing to be administered to reach 70% coverage target,Administration,Numeric,Calculation,Courses,WHO COVmart,Monthly
t70_cour_need_del,Additional vaccine courses needing to be received to reach 70% coverage target,Supply received,Numeric,Calculation,Courses,UNICEF MDB,Monthly
t70_cour_req,"Total number of vaccine courses required to vaccinate 40% of total population with a complete primary series, including a standard assumption of 10% dose wastage",Entity characteristics,Numeric,Calculation,Courses,UNPOP,Annually
t70_status,Status of progress against 70% coverage target,Population coverage,Character,Calculation,N/A,WHO COVmart; UNPOP,Monthly
