name_short,iso,region_who,region_unicef,status_who,status_covax,status_csc,income_group,pop,pop_gen_fem,pop_gen_mal,pop_u18,pop_18p,pop_60p,pop_70per,pop_hcw,pop_old,pol_jj,pol_age_old,pol_age_old_source,del_date,del_dose_tot,del_dose_since_lm,del_cour_tot,del_cour_tot_per,del_cour_covax_prop,del_dose_jj_prop,pu_del_rem,pu_del_rem_per,pu_used_per,adm_tot_date,adm_tot_td,adm_tot_a1d,adm_tot_cps,adm_tot_cps_adj,adm_tot_pv,adm_tot_boost,adm_gen_date,adm_gen_fem_cps,adm_gen_mal_cps,adm_old_date,adm_old_target,adm_old_a1d,adm_old_cps,adm_old_cps_adj,adm_old_boost,adm_hcw_date,adm_hcw_target,adm_hcw_a1d,adm_hcw_cps,adm_hcw_cps_adj,adm_hcw_boost,dvr_4wk_td,dvr_4wk_td_per,dvr_4wk_td_max,dvr_4wk_td_max_per,dvr_4wk_cps,dvr_4wk_cps_per,dvr_4wk_td_lm,dvr_4wk_td_change_lm_trend,dvr_4wk_td_change_lm_per,cov_tot_a1d,cov_tot_cps,cov_tot_boost,cov_tot_cps_since_lm,cov_gen_fem_cps,cov_gen_mal_cps,cov_gen_diff,cov_hcw_a1d,cov_hcw_cps,cov_old_a1d,cov_old_cps,t10_status,t20_status,t40_status,t40_cour_req,t40_cour_need_del,t40_cour_need_adm,t70_status,t70_cour_req,t70_cour_need_del,t70_cour_need_adm,ct_target,ct_deadline,ct_status,fin_tot,fin_percapita,date_refresh,ri_dtp1,ri_dtp3,ri_mcv1,ri_mcv2,ri_zero_dose
Aruba,ABW,AMR,LACRO,Territory or Area,,,HIC,106766,56367,50828,22814,84390,24177,74736.2,,24177,,,,2023-11-20,192291,0,96146,0.9005301313152128,0,0,0,0,1,2023-12-29,217124,90493,84363,84363,6130,35659,,,,2022-03-01,,23832,22739,22739,,,,,,,,0.6071428571428571,0.000005686668575603254,1639.366071428571,0.01535475780144026,0.1428571428571428,0.000001338039664847825,1.75,Downward,-0.6530612244897959,0.8475825637375194,0.7901672817188993,0.3339920948616601,0.0001043670938580821,,,,,,0.9857302394838068,0.9405219837035199,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,46977,0,0,Goal met by deadline,82210,0,0,,,Not captured,,,31/12/2023,,,,,
Australia,AUS,WPR,Dev,Member State,Self-financing,,HIC,25499884,12947015,12841202,5920731,19867484,5699522,17849918.8,1792626,4255305,,65 and older,Region database,2023-11-20,94565070,0,47282535,1.854225493731658,0.01086299624163552,0,15421811.14285715,0.6047796587175513,0.8369185245370501,2023-12-31,69686752,22443557,21766240,21766240,677317,14391682,2022-12-01,10962002,10655127,2024-02-01,,4441637,4373835,4255305,4024861,2024-02-01,1371000,1302450,1302450,1662342.331519626,,14800.4172335597,0.0005804111592648696,281120.8928571428,0.01102439888970251,0,0,8501.20634920629,Upward,0.7409784712426765,0.8801434939860903,0.8535819221765871,0.564382253660448,0,0.846681802716688,0.8297608744103551,0.01692092830633296,1,0.9273224484748216,1,1,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,11219949,0,0,Goal met by deadline,19634911,0,0,,,Not captured,,,31/12/2023,0.98,0.95,0.93,0.94,6087
Austria,AUT,EUR,Dev,Member State,No,,HIC,8901064,4581466,4461606,1572521,7470549,2366793,6230744.8,475869,2366793,,,,2023-11-20,52273943,0,26136972,2.936387380205333,0,0.02472359890662925,26642872.7,2.993223360712832,0.490322115169311,2023-12-23,20403676,6909588,6682372,6682372,227216,5405966,2023-09-01,3382224,3260561,2024-02-01,4518524,4308114,4240758,2366793,3888122,,,,,,,0,0,133023.3214285714,0.01494465396817408,0,0,0,Stable,,0.7762653992826026,0.7507385633897251,0.6073393023575608,0,0.7382405544426173,0.7308043336861211,0.007436220756496192,,,1,1,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,3916468,0,0,Goal met by deadline,6853819,0,171447,0.5,,Goal met,,,31/12/2023,0.95,0.85,0.95,0.88,5917
Azerbaijan,AZE,EUR,CEE-CIS,Member State,Self-financing,,UMIC,10139175,5113915,5109429,2778813,7444529,1254698,7097422.5,189417,1254698,,,,2023-11-20,15242824,0,7621412,0.7516796978057879,0.1326781703967716,0,0,0,1,2023-12-23,13829360,5436662,4888112,4888112,548550,3504588,2021-05-01,,,2024-02-01,,395,0,0,0,2024-02-01,,68244,0,0,0,0,0,64913.21428571428,0.006402218551875698,0,0,0,Stable,,0.536203586583721,0.4821015516548437,0.3456482406112923,0,,,,0.3602844517651531,0,0.0003148167925668169,0,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,4461237,0,0,Goal not yet met,7807165,185753,2919053,,,Not captured,637092,0.06283469808934158,31/12/2023,0.92,0.89,0.93,0.9,5787
Bahamas,BHS,AMR,LACRO,Member State,Self-financing,,HIC,393244,203997,192917,103940,292973,50458,275270.8,11955,50458,,,,2023-11-20,589428,0,294714,0.7494430938552146,0.3431971334921314,0.06548721811654688,164126.2000000001,0.4173647913254876,0.7215500451284973,2023-12-29,366359,174810,166972,166972,7838,33717,2022-08-01,89890,73950,2022-08-01,48200,,32146,32146,13853,,,,,,,0,0,2332.214285714286,0.005930705327263189,0,0,0,Stable,,0.4445331651595447,0.4246015196671786,0.08574065974306029,0,0.4406437349568866,0.3833254715758591,0.05731826338102758,,,,0.6370843077410916,1) Goal met by deadline,1) Goal met by deadline,2) Goal met after deadline,173027,0,6055,Goal not yet met,302798,8084,135826,,,Not captured,,,31/12/2023,0.79,0.75,0.82,0.82,412
Bahrain,BHR,EMR,MENA,Member State,Self-financing,,HIC,1701575,614420,1133875,373566,1374730,98872,1191102.5,5071,98872,,,,2023-11-20,3824296,0,1912148,1.123751818168462,0.02819342435836556,0,0,0,1,2022-12-21,3476633,1241174,1226796,1226796,14378,1008663,,,,,,,,,,,,,,,,34.66666666666112,0.00002037328161653828,17527.92857142857,0.01030100264250978,4.25,0.000002497685967412544,77.0119047619103,Downward,-0.5498531457722484,0.7294265606864229,0.7209767421359623,0.5927819813995857,0,,,,,,,,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,748693,0,0,Goal met by deadline,1310213,0,83417,,,Not captured,,,31/12/2023,0.99,0.98,0.99,0.99,197
Bangladesh,BGD,SEAR,ROSA,Member State,AMC,,LMIC,164689383,82271788,84031706,52995468,113308030,13696840,115282568.1,556201,13696840,One dose,60 and older,Regional assumption,2023-11-20,425817602,46080,212908801,1.292790082284782,0.6018878242614311,0.001596340773155732,21005982.80000001,0.1275491013285296,0.9506690594720882,2023-10-18,362229859,151504394,142193276,142193276,9311118,68532189,2023-12-01,71358717,70253026,2022-02-01,17806657,10034291,7732173,7732173,,,,,,,,17845.86956521656,0.0001083607773624154,1811898.142857143,0.01100191226569319,8560.234782608492,0.000051978060920955,17845.86956521869,Stable,-1.192554722184294e-13,0.9199402611156786,0.8634028096395261,0.4161299760288737,0,0.8673534237520157,0.8360299861102427,0.03132343764177303,,,0.7325989790345803,0.5645224007873348,1) Goal met by deadline,1) Goal met by deadline,2) Goal met after deadline,72463329,0,0,Goal met by deadline,126810825,0,0,0.7,2022-06-30,Goal met,108646364,0.6597047242565721,31/12/2023,0.99,0.98,0.97,0.93,29724
Barbados,BRB,AMR,LACRO,Member State,Self-financing,,HIC,287375,148359,139349,58769,228942,68331,201162.5,7508,68331,,,,2023-11-20,517240,0,258620,0.8999391039582427,0.2220245920655788,0.01353336942231846,81467,0.2834867333623314,0.8424967133245689,2023-12-29,384049,163853,155047,155047,8806,62848,2023-12-01,87041,68006,,,,,,,,,,,,,82.35714285714286,0.0002865842291679612,1807.178571428571,0.006288572671347791,0.07142857142857142,2.485552724787175e-7,0,Upward,1,0.5701713788603741,0.5395284906481079,0.2186968247063941,0.000006959547629414864,0.5866917409796507,0.488026465923688,0.09866527505596273,,,,,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,126445,0,0,Goal not yet met,221279,0,66232,,,Not captured,834324,2.903258808177469,31/12/2023,0.83,0.82,0.77,0.7,242
Belarus,BLR,EUR,CEE-CIS,Member State,No,,UMIC,9449321,5045053,4397814,1906768,7536094,2195420,6614524.699999999,385996,2195420,,,,2023-11-20,24724041,0,12362020,1.308244264323331,0,0,0,0,1,2023-12-23,22765402,6451746,6366658,6366658,85088,5724423,,,,,,,,,,2021-12-01,221193,212503,208813,319852.1252846633,42462,0,0,70494.25,0.007460245027129463,0,0,0,Stable,,0.6827735029850293,0.6737688348189251,0.6058025756559651,0,,,,1,0.8286410358777379,,,1) Goal met by deadline,1) Goal met by deadline,2) Goal met after deadline,4157701,0,0,Goal not yet met,7275977,0,909319,,,Not captured,104266,0.01103423198344093,31/12/2023,0.98,0.98,0.98,0.98,1861
Belgium,BEL,EUR,Dev,Member State,No,,HIC,11522440,5861678,5770656,2365165,9267161,3025414,8065707.999999999,727440,3025414,,,,2023-11-20,26738495,0,13369248,1.160279246409615,0,0.0235316161212514,0,0,1,2023-12-23,29117755,9248897,9152736,9152736,96161,7246551,,,,2024-02-01,5857252,6154204,6112414,3025414,8615674,2024-02-01,623077,463179,461005,543904.7145715664,543084,0,0,140314.25,0.01217747716629464,0,0,0,Stable,,0.8026856290855062,0.7943400876897602,0.6289076792762645,0,,,,0.8628552112611585,0.7476970122230926,1,1,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,5069874,0,0,Goal met by deadline,8872279,0,0,,,Not captured,,,31/12/2023,0.98,0.98,0.96,0.85,2315
Belize,BLZ,AMR,LACRO,Member State,Self-financing,,LMIC,397628,203660,201255,140076,264838,31947,278339.6,4413,31947,,,,2023-11-20,972570,0,486285,1.222964680555695,0.1879761868040347,0.1529966994663623,364207,0.9159490780327341,0.6255210421871947,2023-12-29,511106,236221,221478,221478,14743,53189,,,,2023-12-01,25000,24582,24155,24155,11878,2023-12-01,5000,5018,2547,2547,116,3.714285714285714,0.000009341107050523893,3258.107142857143,0.008193857431712914,0.8571428571428571,0.000002155640088582437,0,Upward,1,0.5940753669258704,0.5569979981289044,0.1337657307835464,0.00006035792248026972,,,,1,0.5771583956492182,0.769461921307165,0.7560960340564059,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,174956,0,0,Goal not yet met,306174,0,84696,,,Not captured,8214111,20.65777812427696,31/12/2023,0.83,0.83,0.79,0.77,73
Benin,BEN,AFR,WCARO,Member State,AMC,,LMIC,12123200,6230889,6220142,6013636,6437404,637431,8486240,48797,1310087,One dose,50 and older,Regional assumption,2023-11-20,6908830,0,3454415,0.2849425069288637,0.7051020216158163,0.5162089673649518,1985406,0.1637691368615547,0.7126277531796267,2023-12-31,4232541,3697190,2742837,2742837,954353,0,,,,2024-02-01,,232067,179959,179959,,2024-02-01,,49993,42213,42213,,0,0,41237.63095238095,0.003401546699912643,0,0,0,Stable,,0.3049681602217236,0.2262469480005279,0,0,,,,1,0.8650736725618379,0.1771386175116614,0.1373641597848082,2) Goal met after deadline,2) Goal met after deadline,3) Goal not yet met,5334208,1879793,2591371,Goal not yet met,9334864,5880449,6592027,0.6,2022-06-30,Deadline past,28436508,2.34562722713475,31/12/2023,0.84,0.76,0.68,0,70694
Bermuda,BMU,AMR,,Territory or Area,,,HIC,62273,,,,,,43591.1,,,,,,2023-11-20,145247,0,72624,1.166219709986672,0.06609385327164574,0,0,0,1,2023-12-29,136759,48554,47657,47657,897,32016,2023-07-01,24218,21960,2023-07-01,19465,16814,16297,,13075,2023-07-01,,581,572,,496,0,0,764.4285714285714,0.01227544154655423,0,0,0,Stable,,0.7796958553466189,0.7652915388691728,0.5141232958103833,0,,,,,,,,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,27400,0,0,Goal met by deadline,47950,0,293,,,Not captured,,,31/12/2023,,,,,
Bhutan,BTN,SEAR,ROSA,Member State,AMC,,LMIC,771608,364949,414951,232359,547539,71223,540125.6,12228,71223,0,60 and older,Regional assumption,2023-11-20,2537097,52800,1268548,1.644031684482276,0.4073239640912287,0,271961.3000000003,0.3524604462369497,0.8928061087140143,2022-10-30,2011426,699116,677669,677669,21447,634641,2021-09-01,1211,1444,2023-01-01,61076,60227,58714,58714,55673,2023-01-01,4853,4851,4840,11317.1346007299,4748,252.4642857142857,0.0003271924159862077,42696.72727272727,0.05533473897721029,14.96428571428571,0.00001939363733176135,2743.214285714286,Downward,-0.90796771253743,0.9060507407906605,0.8782555390820209,0.8224914723538377,0,0.003318271868124039,0.003479928955467031,-0.0001616570873429922,1,0.9255098626700935,0.8456116703873748,0.8243685326369291,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,339508,0,0,Goal met by deadline,594138,0,0,0.95,2022-12-31,Deadline past,2766720,3.585654892121388,31/12/2023,0.99,0.98,0.97,0.91,97
Bolivia,BOL,AMR,LACRO,Member State,AMC,,LMIC,11673021,5896513,5936423,4215424,7617516,1245333,8171114.699999999,132813,1245333,One dose,60 and older,eJRF - multiple,2023-11-20,24438160,0,12219080,1.04677957831139,0.3539243543703781,0.04124696785682719,5889804,0.5045655276384751,0.7589915116359005,2023-12-29,16104540,7505389,6307628,6307628,1197761,2521192,2023-03-01,3258554,3034622,2023-05-01,1267190,1047981,951023,951023,507445,2023-03-01,195397,211977,206047,132813,144096,0,0,67690.24553571429,0.005798862653953444,0,0,0,Stable,,0.6429688595608626,0.5403595179002934,0.215984533909431,0,0.5526238982259515,0.5111869555117619,0.04143694271418963,1,1,0.8415267241773887,0.7636696369565409,1) Goal met by deadline,1) Goal met by deadline,2) Goal met after deadline,5136129,0,0,Goal not yet met,8988226,0,2680598,0.8,2022-12-31,Deadline past,16241335,1.391356616252125,31/12/2023,0.75,0.7,0.75,0.56,48728
Bosnia & Herzegovina,BIH,EUR,CEE-CIS,Member State,Self-financing,,UMIC,3280815,1665632,1597827,564837,2698629,848963,2296570.5,55710,848963,,,,2023-11-20,2886500,0,1443250,0.4399059380062576,0.1152399099255153,0,1406901,0.4288266787368383,0.5125927593971938,2023-12-23,1190949,546013,461202,461202,84811,182203,,,,2024-02-01,,20685,36280,36280,127514,2024-02-01,,680,923,923,10046,0.7142857142857143,2.177159377428213e-7,11303.03571428571,0.00344519142782684,0,0,0.3214285714285715,Upward,1.222222222222222,0.1664260252406795,0.1405754362864105,0.05553589580637738,0,,,,0.01656794112367618,0.01656794112367618,0.04273448901777816,0.04273448901777816,1) Goal met by deadline,3) Goal not yet met,3) Goal not yet met,1443559,309,982357,Goal not yet met,2526228,1082978,2065026,,,Not captured,3278097,0.9991715473137012,31/12/2023,0.89,0.73,0.68,0.76,3258
Botswana,BWA,AFR,ESARO,Member State,Self-financing,,UMIC,2351627,1234670,1162570,932363,1464878,171500,1646138.9,23610,171500,,,,2023-11-20,3709268,0,1854634,0.7886599362909169,0.4701304947499075,0.3765702559103306,166674.2000000002,0.07087612108552938,0.9550654738347296,2023-12-31,3171667,1951054,1663490,1663490,287564,510809,2022-02-01,345866,433826,2022-04-01,,243381,209242,171500,,2024-02-01,,27883,24880,23610,,0,0,28851.57142857143,0.01226877027205906,0,0,0,Stable,,0.8296613365980234,0.7073783384865032,0.2172151450889108,0,0.2801282933901366,0.3731611859931015,-0.09303289260296488,1,1,1,1,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,1034716,0,0,Goal met after deadline,1810753,0,147263,0.64,2021-12-31,Goal met,4360717,1.85434042048335,31/12/2023,0.98,0.95,0.97,0.7,1206
Brazil,BRA,AMR,LACRO,Member State,Self-financing,,UMIC,212559417,108891925,105101516,53160493,160832944,31043870,148791591.9,4831725,31043870,,,,2023-11-20,660125680,0,330062840,1.552802715863678,0.05866446522728824,0.07119841179334215,77876006,0.366372881047185,0.8820285161455922,2023-12-29,516237106,184663245,172876264,172876264,11786981,110574302,2023-08-01,92455228,82445700,2023-08-01,31330209,30886404,31881986,31043870,55519665,2023-08-01,14846712,17176981,16448041,4831725,18583190,9824.892857142857,0.00004622186584724617,1632142.857142857,0.00767852528097053,4945.107142857143,0.00002326458743936592,9709.535714285714,Stable,0.0118808093663446,0.8687605922441912,0.8133079514421138,0.5202042024795354,0.0008894796964667995,0.8490549505851789,0.7844387325488245,0.06461621803635442,1,1,1,1,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,93526143,0,0,Goal met by deadline,163670751,0,0,,,Not captured,5134879,0.02415738183926238,31/12/2023,0.74,0.68,0.73,0.46,599068
British Virgin Islands,VGB,AMR,LACRO,Territory or Area,,,HIC,30237,,,,,,21165.9,,,,,,2023-11-20,45600,0,22800,0.7540430598273639,0,0,0,0,1,2023-12-29,41453,19466,18261,18261,1205,3726,2021-05-01,2265,2831,2021-05-01,,532,556,,,2021-05-01,,90,56,,,0,0,304.1071428571428,0.01005745089979637,0,0,0,Stable,,0.6437807983596257,0.6039289612064689,0.1232265105665245,0,,,,,,,,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,13304,0,0,Goal not yet met,23282,482,5021,,,Not captured,,,31/12/2023,,,,,
Brunei,BRN,WPR,EAPRO,Member State,Self-financing,,HIC,437479,212584,228948,116319,325213,44365,306235.3,6106,44365,,60 and older,Region database,2023-11-20,1422411,0,711206,1.625691747489594,0.07086554387898865,0,0,0,1,2023-06-30,1293100,451149,446714,446714,4435,340466,2022-12-01,205007,251229,2024-02-01,,50425,50472,44365,42292,2024-02-01,6853,6816,6711,6106,,10.65714285713953,0.00002436035297040437,6184.785714285715,0.01413733165314384,1.485714285713454,0.000003396081379251242,22.72678571428904,Downward,-0.5310756659073416,1.031247214151993,1,0.7782453557770773,0,0.964357618635457,1.097319041878505,-0.1329614232430483,1,1,1,1,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,192491,0,0,Goal met by deadline,336859,0,0,,,Not captured,,,31/12/2023,0.99,0.99,0.99,0.99,63
