"ivac_study_id","first_author","study_design","publication_date","country","iso3c","continent","GNI_per_c_WB","year_GNI","q_GNI_per_c_WB","vaccine","vaccine_platform","dose_number","population_detail","history_of_COVID","outcome_detail","outcome_category","variant","timing_of_dose_days","max_follow_up","max_follow_up_days","min_period_days","max_period_days","VE","LCL","UCL","RR","RR.LCL","RR.UCL","ln.RR","SE.ln.RR"
326,"Lin","Retrospective cohort","26-Sep-22","USA","USA","North America",66220,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,">=5 years","included","hospitalization","severe","delta","~25 weeks","~25 weeks",175,NA,175,85.8,83.4,87.8,0.142,0.122,0.166,-1.95192822138088,0.0785629448018587
336,"Embi","Test-negative case-control","22-May-23","USA","USA","North America",66220,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,"immunocompetent adults >=18 years","included","hospitalization with COVID-like illness","severe","delta","14-149","~46 weeks",322,14,149,90,88,91,0.1,0.09,0.12,-2.30258509299405,0.0733882837887197
387,"Altarawneh","Test-negative case-control","27-Jul-23","Qatar","QAT","Asia",65700,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,"all ages","excluded","severe, critical or fatal disease","severe","delta","14+","~48 weeks",336,14,336,91.1,86.3,94.2,0.0890000000000001,0.0579999999999999,0.137,-2.41911890925,0.219269876347374
418,"Paternina-Caicedo","Test-negative case-control","09-Sep-23","Colombia","COL","South America",6630,2019,3,"BioNTech/Pfizer BNT162b2","mRNA",2,">=5 years","excluded","hospitalization","severe","delta","14+","~36 weeks",252,14,252,91,79,96,0.09,0.04,0.21,-2.40794560865187,0.423017366480493
422,"Mimura","Retrospective cohort","23-Sep-23","Japan","JPN","Asia",41970,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,">=65 years","excluded","hospitalization","severe","delta","7+","~22 weeks",154,7,154,93.5,83.7,100,0.0649999999999999,0.00099999999999989,0.163,-2.7333680090865,1.29942607163441
426,"Hernandez-Avila","Test-negative case-control","19-Oct-23","Mexico","MEX","North America",9860,2019,3,"BioNTech/Pfizer BNT162b2","mRNA",2,">=65 years","excluded","hospitalization with ARI","severe","delta","<91","~33 weeks",231,NA,91,87.5,84.9,89.7,0.125,0.103,0.151,-2.07944154167984,0.0975895021901245
49,"Nasreen","Test-negative case-control","07-Feb-22","Canada","CAN","North America",46580,2019,4,"Moderna mRNA-1273","mRNA",2,"general pop","unknown","hospitalization or death","severe","delta","14+","~25 weeks",175,14,175,98,93,100,0.02,0.00099999999999989,0.07,-3.91202300542815,1.08379980664527
74,"Tang","Test-negative case-control","02-Nov-21","Qatar","QAT","Asia",65700,2019,4,"Moderna mRNA-1273","mRNA",2,"general pop","included","severe, critical, fatal disease","severe","delta","14+","~25 weeks",175,14,175,96.1,71.4,99.5,0.039,0.005,0.286,-3.24419363285249,1.03228415775147
92,"Grannis","Test-negative case-control","10-Sep-21","USA","USA","North America",66220,2019,4,"Moderna mRNA-1273","mRNA",2,">= 18 years","included","hospitalization","severe","delta","14+","4 weeks",28,14,28,95,92,97,0.05,0.03,0.08,-2.99573227355399,0.250211544135644
104,"Bruxvoort","Test-negative case-control","15-Dec-21","USA","USA","North America",66220,2019,4,"Moderna mRNA-1273","mRNA",2,">= 18 years","excluded","hospitalization","severe","delta","14+","~25 weeks",175,14,175,97.5,92.7,99.2,0.025,0.00800000000000001,0.073,-3.68887945411394,0.564035178435856
114,"Skowronski","Test-negative case-control","19-Apr-22","Canada","CAN","North America",46580,2019,4,"Moderna mRNA-1273","mRNA",2,">= 18 years","excluded","hospitalization","severe","delta","14+","~38 weeks",266,14,266,97,97,98,0.03,0.02,0.03,-3.50655789731998,0.103434976558205
159,"Tseng","Test-negative case-control","21-Feb-22","USA","USA","North America",66220,2019,4,"Moderna mRNA-1273","mRNA",2,">= 18 years","included","Hospitalization","severe","delta","14+","~47.5 weeks",332.5,14,332.5,99,93.3,99.9,0.01,0.00099999999999989,0.0670000000000001,-4.60517018598809,1.07262566821201
174,"Lytras","Retrospective cohort","14-Jun-22","Greece","GRC","Europe",19690,2019,3,"Moderna mRNA-1273","mRNA",2,"15-59 years","included","intubation","severe","delta","14+","~48 weeks",336,14,336,99.4,98.2,99.8,0.00599999999999989,0.002,0.018,-5.1159958097541,0.56051647381026
174,"Lytras","Retrospective cohort","14-Jun-22","Greece","GRC","Europe",19690,2019,3,"Moderna mRNA-1273","mRNA",2,"60-79 years","included","intubation","severe","delta","14+","~48 weeks",336,14,336,98.9,97.3,99.5,0.0109999999999999,0.005,0.027,-4.50986000618378,0.430203814686283
174,"Lytras","Retrospective cohort","14-Jun-22","Greece","GRC","Europe",19690,2019,3,"Moderna mRNA-1273","mRNA",2,">= 80 years","included","intubation","severe","delta","14+","~48 weeks",336,14,336,97.9,90.2,99.5,0.0209999999999999,0.005,0.098,-3.86323284125872,0.759063664856242
178,"Lauring","Test-negative case-control","09-Mar-22","USA","USA","North America",66220,2019,4,"Moderna mRNA-1273","mRNA",2,">= 18 years","excluded","hospitalization","severe","delta","14+","~27 weeks",189,14,189,88,86,90,0.12,0.1,0.14,-2.12026353620009,0.0858347542401054
203,"Baum","Retrospective cohort","05-Nov-22","Finland","FIN","Europe",49950,2019,4,"Moderna mRNA-1273","mRNA",2,">= 70 years","excluded","hospitalization","severe","delta","14-90","~48.5 weeks",339.5,14,90,92,42,99,0.08,0.01,0.58,-2.52572864430826,1.03582729860878
218,"Starrfelt","Retrospective cohort","30-Mar-22","Norway","NOR","Europe",82430,2019,4,"Moderna mRNA-1273","mRNA",2,">= 18 years","excluded","hospitalization","severe","delta","18-25 weeks","~23 weeks",161,126,175,95.3,91.5,97.4,0.047,0.0259999999999999,0.085,-3.05760767727208,0.30218232614001
230,"Plumb","Test-negative case-control","12-Apr-22","USA","USA","North America",66220,2019,4,"Moderna mRNA-1273","mRNA",2,"hospitalized adults","included","hospitalization","severe","delta","14+","~55 weeks",385,14,385,44,29.9,55.2,0.56,0.448,0.701,-0.579818495252942,0.114212922096838
235,"Voko","Retrospective cohort","22-Jul-22","Hungary","HUN","Europe",16570,2019,3,"Moderna mRNA-1273","mRNA",2,"18-64 years","included","hospitalization","severe","delta","14-120","~47 weeks",329,14,120,84.9,75.4,90.8,0.151,0.0920000000000001,0.246,-1.89047544216721,0.250903816041664
310,"Penayo","Test-negative case-control","01-Jun-22","Paraguay","PRY","South America",5950,2019,2,"Moderna mRNA-1273","mRNA",2,">=18 years","included","hospitalization with SARI","severe","delta","14+","~37 weeks",259,14,259,76.1,-127.4,97.5,0.239,0.025,NA,-1.43129172705063,1.15183047299148
311,"Monge","Case cohort","02-Sep-22","Spain","ESP","Europe",30370,2019,4,"Moderna mRNA-1273","mRNA",2,"50-59 years","included","hospitalization","severe","delta","14+","~21 weeks",147,14,147,98,97,99,0.02,0.01,0.03,-3.91202300542815,0.28025823690513
326,"Lin","Retrospective cohort","26-Sep-22","USA","USA","North America",66220,2019,4,"Moderna mRNA-1273","mRNA",2,">=5 years","included","hospitalization","severe","delta","~24 weeks","~24 weeks",168,NA,168,89.8,88.1,91.3,0.102,0.0870000000000001,0.119,-2.28278246569787,0.0799018812390167
336,"Embi","Test-negative case-control","22-May-23","USA","USA","North America",66220,2019,4,"Moderna mRNA-1273","mRNA",2,"immunocompetent adults >=18 years","included","hospitalization with COVID-like illness","severe","delta","14-149","~46 weeks",322,14,149,95,92,95,0.05,0.05,0.08,-2.99573227355399,0.119898885011667
387,"Altarawneh","Test-negative case-control","27-Jul-23","Qatar","QAT","Asia",65700,2019,4,"Moderna mRNA-1273","mRNA",2,"all ages","excluded","severe, critical or fatal disease","severe","delta","14+","~48 weeks",336,14,336,97.9,91.2,99.5,0.0209999999999999,0.005,0.088,-3.86323284125872,0.731606862766353
43,"Stowe","Test-negative case-control","14-Jun-21","UK","GBR","Europe",43240,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored",2,"hospital patients","included","hospitalization","severe","delta","14+","~20 weeks",140,14,140,92,75,97,0.08,0.03,0.25,-2.52572864430826,0.540883555153084
49,"Nasreen","Test-negative case-control","07-Feb-22","Canada","CAN","North America",46580,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored",2,"general pop","unknown","hospitalization or death","severe","delta","14+","~3 weeks",21,14,21,90,67,97,0.1,0.03,0.33,-2.30258509299405,0.611707977754686
95,"Andrews","Test-negative case-control","12-Jan-22","UK","GBR","Europe",43240,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored",2,">= 16 years","excluded","hospitalization","severe","delta","14+","~20.5 weeks",143.5,14,143.5,92.5,92,93,0.075,0.07,0.08,-2.59026716544583,0.0340641307715619
114,"Skowronski","Test-negative case-control","19-Apr-22","Canada","CAN","North America",46580,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored",2,">= 18 years","excluded","Hospitalization","severe","delta","14+","~38 weeks",266,14,266,95,93,97,0.05,0.03,0.07,-2.99573227355399,0.216147413364082
146,"Katikireddi","Retrospective cohort","20-Dec-21","UK","GBR","Europe",43240,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored",2,">= 18 years","excluded","severe disease","severe","delta","14-27","~20 weeks",140,14,27,83.7,79.7,87,0.163,0.13,0.203,-1.81400507817538,0.113691716476073
174,"Lytras","Retrospective cohort","14-Jun-22","Greece","GRC","Europe",19690,2019,3,"Oxford/AstraZeneca ChAdOx1-S","Vectored",2,"15-59 years","included","intubation","severe","delta","14+","~48 weeks",336,14,336,97.8,95.3,99,0.022,0.01,0.047,-3.81671282562382,0.394786354264289
174,"Lytras","Retrospective cohort","14-Jun-22","Greece","GRC","Europe",19690,2019,3,"Oxford/AstraZeneca ChAdOx1-S","Vectored",2,"60-79 years","included","intubation","severe","delta","14+","~48 weeks",336,14,336,97.2,95.3,98.3,0.028,0.017,0.047,-3.57555076880693,0.259422004503531
174,"Lytras","Retrospective cohort","14-Jun-22","Greece","GRC","Europe",19690,2019,3,"Oxford/AstraZeneca ChAdOx1-S","Vectored",2,">= 80 years","included","intubation","severe","delta","14+","~48 weeks",336,14,336,97.8,91.7,99.4,0.022,0.00599999999999989,0.083,-3.81671282562382,0.670173759838919
194,"Smid","Retrospective cohort","15-Oct-22","Czech Republic","CZE","Europe",22100,2019,3,"Oxford/AstraZeneca ChAdOx1-S","Vectored",2,"all ages","included","hospitalization","severe","delta","75-135","~54 weeks",378,75,135,80,62,89,0.2,0.11,0.38,-1.6094379124341,0.316247675236739
203,"Baum","Retrospective cohort","05-Nov-22","Finland","FIN","Europe",49950,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored",2,">= 70 years","excluded","hospitalization","severe","delta","91-180","~48.5 weeks",339.5,91,180,79,67,87,0.21,0.13,0.33,-1.56064774826467,0.237642398980853
235,"Voko","Retrospective cohort","22-Jul-22","Hungary","HUN","Europe",16570,2019,3,"Oxford/AstraZeneca ChAdOx1-S","Vectored",2,"18-64 years","included","hospitalization","severe","delta","14-120","~47 weeks",329,14,120,76.2,70.6,80.7,0.238,0.193,0.294,-1.43548460531066,0.107369790416785
247,"Kirsebom","Test-negative case-control","12-Dec-22","UK","GBR","Europe",43240,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored",2,">= 65 years","included","hospitalization","severe","delta","175+","~44.5 weeks",311.5,175,311.5,73.4,70.4,76.2,0.266,0.238,0.296,-1.32425897020044,0.0556348930236188
259,"Tsundue","Prospective cohort","24-May-22","India","IND","Asia",2070,2019,1,"Oxford/AstraZeneca ChAdOx1-S","Vectored",2,"residents of congregate living facilities","included","shortness of breath/use of supplemental oxygen, hospitalization or death","severe","delta","14+","13 weeks",91,14,91,99,90,99.8,0.01,0.002,0.1,-4.60517018598809,0.997965052405139
310,"Penayo","Test-negative case-control","01-Jun-22","Paraguay","PRY","South America",5950,2019,2,"Oxford/AstraZeneca ChAdOx1-S","Vectored",2,">=18 years","included","hospitalization with SARI","severe","delta","14+","~33 weeks",231,14,231,83,66.3,91.5,0.17,0.085,0.337,-1.77195684193187,0.351385631087257
311,"Monge","Case cohort","02-Sep-22","Spain","ESP","Europe",30370,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored",2,"50-59 years","included","hospitalization","severe","delta","14+","~21 weeks",147,14,147,96,93,98,0.04,0.02,0.07,-3.2188758248682,0.319582389922287
345,"Clemens","Test-negative case-control","13-Oct-22","Brazil","BRA","South America",9410,2019,3,"Oxford/AstraZeneca ChAdOx1-S","Vectored",2,"18-60 years","included","severe disease","severe","delta","14+","~12.5 weeks",87.5,14,87.5,100,44.3,100,0.005,0.00099999999999989,0.557,-5.29831736654804,1.61289929589985
366,"Battacharya","Test-negative case-control","06-Jan-23","India","IND","Asia",2070,2019,1,"Oxford/AstraZeneca ChAdOx1-S","Vectored",2,">=18 years","included","hospitalization with symptoms of pulmonary disease","severe","delta","7+","~22 weeks",154,7,154,79,53.1,81,0.21,0.19,0.469,-1.56064774826467,0.230504769460662
418,"Paternina-Caicedo","Test-negative case-control","09-Sep-23","Colombia","COL","South America",6630,2019,3,"Oxford/AstraZeneca ChAdOx1-S","Vectored",2,">=5 years","excluded","hospitalization","severe","delta","14+","~32 weeks",224,14,224,71,27,89,0.29,0.11,0.73,-1.23787435600162,0.482796981721944
420,"Irala","Test-negative case-control","15-Sep-23","Paraguay","PRY","South America",5950,2019,2,"Oxford/AstraZeneca ChAdOx1-S","Vectored",2,">=5 years","included","hospitalization due to SARI","severe","delta","14+","~37 weeks",259,14,259,83.2,67.8,91.9,0.168,0.081,0.322,-1.78379129957888,0.352066936446931
426,"Hernandez-Avila","Test-negative case-control","19-Oct-23","Mexico","MEX","North America",9860,2019,3,"Oxford/AstraZeneca ChAdOx1-S","Vectored",2,">=65 years","excluded","hospitalization with ARI","severe","delta","<91","~33 weeks",231,NA,91,81.1,78.4,83.5,0.189,0.165,0.216,-1.66600826392249,0.0687073810672408
151,"Collie","Test-negative case-control","29-Dec-21","South Africa","ZAF","Africa",6570,2019,3,"BioNTech/Pfizer BNT162b2","mRNA",2,">= 18 years","included","Hospitalization","severe","omicron","14+","~24 weeks",168,14,168,70,62,76,0.3,0.24,0.38,-1.20397280432594,0.11722763504552
165,"Tartof","Test-negative case-control","22-Apr-22","USA","USA","North America",66220,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,"hospital admissions","excluded","hospitalization","severe","omicron","7+","~47 weeks",329,7,329,62,53,69,0.38,0.31,0.47,-0.967584026261706,0.106163366639008
179,"Chemaitelly","Test-negative case-control","02-Jun-22","Qatar","QAT","Asia",65700,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,">= 18 years","included","severe, critical or fatal disease","severe","omicron","1-6 months","~58 weeks",406,30,180,70.4,45,85,0.296,0.15,0.55,-1.21739582465808,0.331449740849556
194,"Smid","Retrospective cohort","15-Oct-22","Czech Republic","CZE","Europe",22100,2019,3,"BioNTech/Pfizer BNT162b2","mRNA",2,"all ages","included","hospitalization","severe","omicron","14-74","~54 weeks",378,14,74,46,28,60,0.54,0.4,0.72,-0.616186139423817,0.149945577781153
203,"Baum","Retrospective cohort","05-Nov-22","Finland","FIN","Europe",49950,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,">= 70 years","excluded","hospitalization","severe","omicron","14-90","~56 weeks",392,14,90,91,83,95,0.09,0.05,0.17,-2.40794560865187,0.312187610107682
207,"Altarawneh","Test-negative case-control","15-Jun-22","Qatar","QAT","Asia",65700,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,">= 18 years","excluded","hospitalization or death","severe","omicron","14+","44 weeks",308,14,308,73.5,60.5,82.2,0.265,0.178,0.395,-1.32802545299591,0.203342401685979
210,"Stowe","Test-negative case-control","30-Sep-22","UK","GBR","Europe",43240,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,"18-64 years","included","hospitalization with ARI","severe","omicron","14-174","~43 weeks",301,14,174,73.8,62.5,81.7,0.262,0.183,0.375,-1.33941077522104,0.183020375798212
210,"Stowe","Test-negative case-control","30-Sep-22","UK","GBR","Europe",43240,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,">= 65 years","included","hospitalization with ARI","severe","omicron","14-174","~43 weeks",301,14,174,87.6,79.4,92.5,0.124,0.075,0.206,-2.0874737133771,0.257752054911549
215,"Hansen","Retrospective cohort","30-Mar-22","Denmark","DNK","Europe",63020,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,">= 12 years","excluded","hospitalization","severe","omicron","14-30","~2 weeks",14,14,30,50.5,33.9,63,0.495,0.37,0.661,-0.703197516413447,0.148023171993218
230,"Plumb","Test-negative case-control","12-Apr-22","USA","USA","North America",66220,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,"hospitalized adults","included","hospitalization","severe","omicron","14+","~55 weeks",385,14,385,37.3,25.8,46.9,0.627,0.531,0.742,-0.466808738349216,0.0853538831442453
240,"Cerqueira-Silva","Test-negative case-control","11-Jan-23","Brazil","BRA","South America",9410,2019,3,"BioNTech/Pfizer BNT162b2","mRNA",2,">= 18 years","included","severe disease","severe","omicron","14-59","~7 weeks",49,14,59,82.9,80.6,85,0.171,0.15,0.194,-1.76609172247948,0.0656180777977226
244,"Sharma","Matched case-control","27-Apr-22","USA","USA","North America",66220,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,"veterans","excluded","hospitalization","severe","omicron","14+","~42 weeks",294,14,294,52.9,47.8,57.6,0.471,0.424,0.522,-0.752897184965719,0.0530444215945615
272,"Adams","Prospective test-negative case control","11-Oct-22","USA","USA","North America",66220,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,">= 18 years","included","hospitalization","severe","omicron","14+","~72 weeks",504,14,504,36,21,48,0.64,0.52,0.79,-0.446287102628419,0.106684728032039
278,"Tartof","Test-negative case-control","07-Oct-22","USA","USA","North America",66220,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,">= 18 years","included","hospitalization","severe","omicron","<6 months","~70 weeks",490,NA,180,54,38,65,0.46,0.35,0.62,-0.776528789498996,0.145863858049918
278,"Tartof","Test-negative case-control","07-Oct-22","USA","USA","North America",66220,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,">= 18 years","included","hospitalization","severe","omicron","<6 months","~70 weeks",490,NA,180,56,-2,81,0.44,0.19,1.02040816326531,-0.82098055206983,0.428809671974278
299,"Risk","Retrospective cohort","16-Aug-22","USA","USA","North America",66220,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,">= 18 years","included","hospitalization","severe","omicron","14+","~56 weeks",392,14,392,67,51,78,0.33,0.22,0.49,-1.10866262452161,0.204280062436814
301,"Yan","Case-control","18-Aug-22","Hong Kong","HKG","Asia",50480,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,"18-50 years","excluded","severe disease","severe","omicron","14+","~52 weeks",364,14,364,73.7,54.2,84.9,0.263,0.151,0.458,-1.33560124680437,0.283058506964097
301,"Yan","Case-control","18-Aug-22","Hong Kong","HKG","Asia",50480,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,"51-64 years","excluded","severe disease","severe","omicron","14+","~52 weeks",364,14,364,84.5,72.2,91.4,0.155,0.086,0.278,-1.86433016206289,0.299304545264574
301,"Yan","Case-control","18-Aug-22","Hong Kong","HKG","Asia",50480,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,">= 65 years","excluded","severe disease","severe","omicron","14+","~52 weeks",364,14,364,81.9,74.4,87.2,0.181,0.128,0.256,-1.70925824771631,0.176823260346925
310,"Penayo","Test-negative case-control","01-Jun-22","Paraguay","PRY","South America",5950,2019,2,"BioNTech/Pfizer BNT162b2","mRNA",2,">=18 years","included","hospitalization with SARI","severe","omicron","14+","~53 weeks",371,14,371,49.5,9.9,71.7,0.505,0.283,0.901,-0.683196849706777,0.295423051011505
316,"Collie","Test-negative case-control","14-Sep-22","South Africa","ZAF","Africa",6570,2019,3,"BioNTech/Pfizer BNT162b2","mRNA",2,">=18 years","included","hospitalization","severe","omicron","14-27","~36 weeks",252,14,27,80.3,62.8,89.5,0.197,0.105,0.372,-1.62455155024415,0.322687118396843
324,"Link-Gelles","Test-negative case-control","05-Oct-22","USA","USA","North America",66220,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,">=18 years","included","hospitalization","severe","omicron","150+","~82 weeks",574,150,574,17,7,27,0.83,0.73,0.93,-0.186329578191493,0.0617704214298124
