"ivac_study_id","first_author","study_design","publication_date","country","iso3c","continent","GNI_per_c_WB","year_GNI","q_GNI_per_c_WB","vaccine","vaccine_platform","dose_number","population_detail","history_of_COVID","outcome_detail","outcome_category","variant","timing_of_dose_days","max duration follow-up","VE","LCL","UCL"
9,"Public Health England","Retrospective cohort","17Mar2021","UK","GBR","Europe",43240,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","1","> 70 years","included","hospitalization","severe","alpha","14-21",NA,35,"4",56
10,"Shrotri","Prospective cohort","23Jun2021","UK","GBR","Europe",43240,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","1","LTCF residents","stratified","infection ","infection","other combinations","35-48",NA,65,"29",83
10,"Shrotri","Prospective cohort","23Jun2021","UK","GBR","Europe",43240,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","1","LTCF residents","stratified","infection ","infection","other combinations","35-48",NA,68,"34",85
11,"Thompson","Prospective cohort","29Mar2021","USA","USA","North America",66220,2019,4,"Multiple or heterologous RNA","mRNA","1","HCW","excluded","infection ","infection","original",">14",NA,80,"59",90
11,"Thompson","Prospective cohort","29Mar2021","USA","USA","North America",66220,2019,4,"Multiple or heterologous RNA","mRNA","2","HCW","excluded","infection ","infection","original",">14",NA,90,"68",97
12,"Bouton","Prospective cohort","30Mar2021","USA","USA","North America",66220,2019,4,"Multiple or heterologous RNA","mRNA","1+","HCW","included","infection ","infection","original",">14 including some with dose 2",NA,82,"68",90
13,"Regev-Yochay","Prospective cohort","07Jul2021","Israel","ISR","Asia",43800,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","HCW","included","asymptomatic infection","asymptomatic","alpha",">11",NA,65,"45",79
13,"Regev-Yochay","Prospective cohort","07Jul2021","Israel","ISR","Asia",43800,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","HCW","included","asymptomatic infection (presumed infectious ct<30)","asymptomatic","alpha",">11",NA,70,"43",84
13,"Regev-Yochay","Prospective cohort","07Jul2021","Israel","ISR","Asia",43800,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","HCW","included","symptomatic disease","symptomatic","alpha",">11",NA,90,"84",94
13,"Regev-Yochay","Prospective cohort","07Jul2021","Israel","ISR","Asia",43800,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","HCW","included","symptomatic disease  (presumed infectious ct<30)","symptomatic","alpha",">11",NA,88,"80",94
14,"Andrejko","Test-negative case-control","20Jul2021","USA","USA","North America",66220,2019,4,"Multiple or heterologous RNA","mRNA","1","general pop","excluded","infection ","infection","other combinations",">=15",NA,66.9,"28.7",84.6
14,"Andrejko","Test-negative case-control","20Jul2021","USA","USA","North America",66220,2019,4,"Multiple or heterologous RNA","mRNA","2","general pop","excluded","infection ","infection","other combinations",">=15",NA,87.4,"77.2",93.1
14,"Andrejko","Test-negative case-control","20Jul2021","USA","USA","North America",66220,2019,4,"Multiple or heterologous RNA","mRNA","2","general pop","excluded","asymptomatic infection","asymptomatic","other combinations",">=15",NA,68.3,"27.9",85.7
14,"Andrejko","Test-negative case-control","20Jul2021","USA","USA","North America",66220,2019,4,"Multiple or heterologous RNA","mRNA","2","general pop","excluded","symptomatic disease","symptomatic","other combinations",">=15",NA,91.3,"79.3",96.3
14,"Andrejko","Test-negative case-control","20Jul2021","USA","USA","North America",66220,2019,4,"Multiple or heterologous RNA","mRNA","2","general pop","excluded","hospitalization","severe","other combinations",">=15",NA,100,NA,NA
14,"Andrejko","Test-negative case-control","20Jul2021","USA","USA","North America",66220,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","general pop","excluded","infection ","infection","other combinations",">=15",NA,87,"68.6",94.6
14,"Andrejko","Test-negative case-control","20Jul2021","USA","USA","North America",66220,2019,4,"Moderna mRNA-1273","mRNA","2","general pop","excluded","infection ","infection","other combinations",">=15",NA,86.2,"68.4",93.9
15,"Glampson","Retrospective cohort","17Sept2021","UK","GBR","Europe",43240,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","1",">= 16 years","unknown","infection ","infection","alpha","22-28",NA,78,"73",82
15,"Glampson","Retrospective cohort","17Sept2021","UK","GBR","Europe",43240,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","1",">= 16 years","unknown","infection ","infection","alpha","22-28",NA,74,"65",81
16,"Bjork","Retrospective cohort","29Sept2021","Sweden","SWE","Europe",56230,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","1","general pop","unknown","infection ","infection","other combinations",">14",NA,42,"14",63
16,"Bjork","Retrospective cohort","29Sept2021","Sweden","SWE","Europe",56230,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","general pop","unknown","infection ","infection","other combinations",">7",NA,86,"72",94
17,"Mason","Case-control","18Oct2021","UK","GBR","Europe",43240,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","1","80-83 years","excluded","infection ","infection","alpha","21-27",NA,55,"40",66
17,"Mason","Case-control","18Oct2021","UK","GBR","Europe",43240,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","80-83 years","excluded","infection ","infection","alpha","35-41",NA,70,"55",80
17,"Mason","Case-control","18Oct2021","UK","GBR","Europe",43240,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","1","80-83 years","excluded","hospitalization","severe","alpha","21-27",NA,50,"19",69
17,"Mason","Case-control","18Oct2021","UK","GBR","Europe",43240,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","80-83 years","excluded","hospitalization","severe","alpha","35-41",NA,75,"52",87
17,"Mason","Case-control","18Oct2021","UK","GBR","Europe",43240,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","1","80-83 years","excluded","ED or UC visit","symptomatic","alpha","35-41",NA,58,"31",74
17,"Mason","Case-control","18Oct2021","UK","GBR","Europe",43240,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","80-83 years","excluded","ED or UC visit","symptomatic","alpha","35-41",NA,79,"60",90
18,"Hall","Prospective cohort","23Apr2021","UK","GBR","Europe",43240,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","1","HCW","excluded","infection ","infection","alpha",">21",NA,72,"58",86
18,"Hall","Prospective cohort","23Apr2021","UK","GBR","Europe",43240,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","HCW","excluded","infection ","infection","alpha",">7",NA,86,"76",97
19,"Vasileiou","Prospective cohort","23Apr2021","UK","GBR","Europe",43240,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","1","general pop","excluded","hospitalization","severe","other combinations","28-34",NA,91,"85",94
19,"Vasileiou","Prospective cohort","23Apr2021","UK","GBR","Europe",43240,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","1","general pop","excluded","hospitalization","severe","other combinations","28-34",NA,88,"75",94
20,"Pritchard","Prospective cohort","09Jun2021","UK","GBR","Europe",43240,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","1",">= 16 years","excluded","infection ","infection","other combinations",">21",NA,66,"60",71
20,"Pritchard","Prospective cohort","09Jun2021","UK","GBR","Europe",43240,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2",">= 16 years","excluded","infection ","infection","other combinations",">0",NA,80,"74",85
20,"Pritchard","Prospective cohort","09Jun2021","UK","GBR","Europe",43240,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","1",">= 16 years","excluded","symptomatic disease","symptomatic","other combinations",">21",NA,78,"72",83
20,"Pritchard","Prospective cohort","09Jun2021","UK","GBR","Europe",43240,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2",">= 16 years","excluded","symptomatic disease","symptomatic","other combinations",">0",NA,95,"91",98
20,"Pritchard","Prospective cohort","09Jun2021","UK","GBR","Europe",43240,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","1",">= 16 years","excluded","infection ","infection","other combinations",">21",NA,61,"54",68
20,"Pritchard","Prospective cohort","09Jun2021","UK","GBR","Europe",43240,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2",">= 16 years","excluded","infection ","infection","other combinations",">0",NA,79,"65",88
20,"Pritchard","Prospective cohort","09Jun2021","UK","GBR","Europe",43240,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","1",">= 16 years","excluded","symptomatic disease","symptomatic","other combinations",">21",NA,71,"62",78
20,"Pritchard","Prospective cohort","09Jun2021","UK","GBR","Europe",43240,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2","general pop","excluded","symptomatic disease","symptomatic","other combinations",">0",NA,92,"78",97
21,"Goldberg","Prospective cohort","30Mar2022","Israel","ISR","Asia",43800,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","1+",">= 16 years","excluded","infection ","infection","alpha",">14 days post dose 1 to <14 days post dose 2",NA,65.9,"65.4",66.4
21,"Goldberg","Prospective cohort","30Mar2022","Israel","ISR","Asia",43800,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2",">= 16 years","excluded","infection ","infection","alpha","14+","~8 weeks",94.5,"94.3",94.7
21,"Goldberg","Prospective cohort","30Mar2022","Israel","ISR","Asia",43800,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","1+",">= 16 years","excluded","hospitalization","severe","alpha",">14 days post dose 1 to <14 days post dose 2",NA,74.9,"73.5",76.3
21,"Goldberg","Prospective cohort","30Mar2022","Israel","ISR","Asia",43800,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2",">= 16 years","excluded","hospitalization","severe","alpha","14+","~8 weeks",95.8,"95.2",96.2
21,"Goldberg","Prospective cohort","30Mar2022","Israel","ISR","Asia",43800,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","1+",">= 16 years","excluded","severe disease","severe","alpha",">14 days post dose 1 to <14 days post dose 2",NA,72.1,"69.9",74.1
21,"Goldberg","Prospective cohort","30Mar2022","Israel","ISR","Asia",43800,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2",">= 16 years","excluded","severe disease","severe","alpha","14+","~8 weeks",96.3,"95.7",96.9
21,"Goldberg","Prospective cohort","30Mar2022","Israel","ISR","Asia",43800,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","1+",">= 16 years","excluded","death","death","alpha",">14 days post dose 1 to <14 days post dose 2",NA,69.1,"65.5",72.3
21,"Goldberg","Prospective cohort","30Mar2022","Israel","ISR","Asia",43800,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2",">= 16 years","excluded","death","death","alpha","14+","~8 weeks",96,"94.9",96.9
22,"Tenforde","Test-negative case-control","28Apr2021","USA","USA","North America",66220,2019,4,"Multiple or heterologous RNA","mRNA","1+","hospital patients >= 65 years","unknown","hospitalization","severe","other combinations",">14 days post dose 1 to 14 days post dose 2",NA,64,"28",82
22,"Tenforde","Test-negative case-control","28Apr2021","USA","USA","North America",66220,2019,4,"Multiple or heterologous RNA","mRNA","2","hospital patients >= 65 years","unknown","hospitalization","severe","other combinations",">14",NA,94,"49",99
23,"Gras-Valenti","Case-control","29Apr2021","Spain","ESP","Europe",30370,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","1","HCW","included","infection ","infection","other combinations",">12",NA,53,"1",77
24,"Fabiani","Retrospective cohort","29Apr2021","Italy","ITA","Europe",34890,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","1","HCW","excluded","infection ","infection","unknown","14-21",NA,84,"40",96
24,"Fabiani","Retrospective cohort","29Apr2021","Italy","ITA","Europe",34890,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","HCW","excluded","infection ","infection","unknown",">7",NA,95,"62",99
24,"Fabiani","Retrospective cohort","29Apr2021","Italy","ITA","Europe",34890,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","1","HCW","excluded","symptomatic disease","symptomatic","unknown","14-21",NA,83,"15",97
24,"Fabiani","Retrospective cohort","29Apr2021","Italy","ITA","Europe",34890,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","HCW","excluded","symptomatic disease","symptomatic","unknown",">7",NA,94,"51",99
25,"Corchado-Garcia ","Retrospective cohort","02Nov2021","USA","USA","North America",66220,2019,4,"Janssen Ad26.COV2.S","Vectored","1","general pop","excluded","infection ","infection","other combinations",">15",NA,74.2,"64.9",81.6
26,"Haas","Retrospective cohort","05May2021","Israel","ISR","Asia",43800,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","general pop","excluded","infection ","infection","alpha",">7",NA,95.3,"94.9",95.7
26,"Haas","Retrospective cohort","05May2021","Israel","ISR","Asia",43800,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","general pop","excluded","asymptomatic infection","asymptomatic","alpha",">7",NA,91.5,"90.7",92.2
26,"Haas","Retrospective cohort","05May2021","Israel","ISR","Asia",43800,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","general pop","excluded","symptomatic disease","symptomatic","alpha",">7",NA,97,"96.7",97.2
26,"Haas","Retrospective cohort","05May2021","Israel","ISR","Asia",43800,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","general pop","excluded","hospitalization","severe","alpha",">7",NA,97.2,"96.8",97.5
26,"Haas","Retrospective cohort","05May2021","Israel","ISR","Asia",43800,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","general pop","excluded","severe/critical hospitalization","severe","alpha",">7",NA,97.5,"97.1",97.8
26,"Haas","Retrospective cohort","05May2021","Israel","ISR","Asia",43800,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","general pop","excluded","death","death","alpha",">7",NA,96.7,"96",97.3
27,"Abu-Raddad","Test-negative case-control","08Jul2021","Qatar","QAT","Asia",65700,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","1","general pop","unknown","infection ","infection","alpha","15-21",NA,65.5,"58.2",71.5
27,"Abu-Raddad","Test-negative case-control","08Jul2021","Qatar","QAT","Asia",65700,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","general pop","unknown","infection ","infection","alpha",">14",NA,90,"86",92
27,"Abu-Raddad","Test-negative case-control","08Jul2021","Qatar","QAT","Asia",65700,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","1","general pop","unknown","severe/fatal infection","severe","alpha","15-21",NA,72,"32",90
27,"Abu-Raddad","Test-negative case-control","08Jul2021","Qatar","QAT","Asia",65700,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","general pop","unknown","severe/fatal infection","severe","alpha",">14",NA,100,"82",100
27,"Abu-Raddad","Test-negative case-control","08Jul2021","Qatar","QAT","Asia",65700,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","1","general pop","unknown","infection ","infection","beta","15-21",NA,46.5,"38.7",53.3
27,"Abu-Raddad","Test-negative case-control","08Jul2021","Qatar","QAT","Asia",65700,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","general pop","unknown","infection ","infection","beta",">14",NA,75,"71",79
27,"Abu-Raddad","Test-negative case-control","08Jul2021","Qatar","QAT","Asia",65700,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","1","general pop","unknown","severe/fatal infection","severe","beta","15-21",NA,56.5,"0",82.8
27,"Abu-Raddad","Test-negative case-control","08Jul2021","Qatar","QAT","Asia",65700,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","general pop","unknown","severe/fatal infection","severe","beta",">14",NA,100,"74",100
27,"Abu-Raddad","Retrospective cohort","08Jul2021","Qatar","QAT","Asia",65700,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","general pop","unknown","infection ","infection","alpha",">14",NA,87,"82",91
27,"Abu-Raddad","Retrospective cohort","08Jul2021","Qatar","QAT","Asia",65700,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","general pop","unknown","infection ","infection","beta",">14",NA,72,"66",77
28,"Angel","Retrospective cohort","06May2021","Israel","ISR","Asia",43800,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","1+","HCW","excluded","symptomatic disease","symptomatic","alpha",">7 days post dose 1 to 7 days post dose 2",NA,89,"83",94
28,"Angel","Retrospective cohort","06May2021","Israel","ISR","Asia",43800,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","HCW","excluded","symptomatic disease","symptomatic","alpha",">7",NA,97,"94",99
28,"Angel","Retrospective cohort","06May2021","Israel","ISR","Asia",43800,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","1+","HCW","excluded","asymptomatic infection","asymptomatic","alpha",">7 days post dose 1 to 7 days post dose 2",NA,36,"-51",69
28,"Angel","Retrospective cohort","06May2021","Israel","ISR","Asia",43800,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","HCW","excluded","asymptomatic infection","asymptomatic","alpha",">7",NA,86,"69",97
29,"Lopez-Bernal","Test-negative case-control","13May2021","UK","GBR","Europe",43240,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","> 80 years","included","symptomatic disease","symptomatic","alpha",">=7",NA,79,"68",86
29,"Lopez-Bernal","Test-negative case-control","13May2021","UK","GBR","Europe",43240,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","1+","> 70 years","included","symptomatic disease","symptomatic","alpha","28-34 (includes some with dose 2)",NA,61,"51",69
29,"Lopez-Bernal","Test-negative case-control","13May2021","UK","GBR","Europe",43240,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","1+","> 70 years","included","symptomatic disease","symptomatic","alpha","28-34 (includes some with dose 2)",NA,60,"41",73
30,"Pilishvili ","Test-negative case-control","14May2021","USA","USA","North America",66220,2019,4,"Multiple or heterologous RNA","mRNA","1+","HCW","excluded","symptomatic disease","symptomatic","unknown",">14 up to 6 days post dose 2",NA,82,"74",87
30,"Pilishvili ","Test-negative case-control","14May2021","USA","USA","North America",66220,2019,4,"Multiple or heterologous RNA","mRNA","2","HCW","excluded","symptomatic disease","symptomatic","unknown",">7",NA,94,"87",97
31,"Ismail","Screening method","12May2021","UK","GBR","Europe",43240,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","1","70-79 years","included","hospitalization","severe","alpha","28+",NA,84,"74",89
31,"Ismail","Screening method","12May2021","UK","GBR","Europe",43240,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","1",">= 80 years","included","hospitalization","severe","alpha","28+",NA,73,"60",81
31,"Ismail","Screening method","12May2021","UK","GBR","Europe",43240,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","1","70-79 years","included","hospitalization","severe","alpha","28+",NA,81,"73",87
31,"Ismail","Screening method","12May2021","UK","GBR","Europe",43240,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","1",">= 80 years","included","hospitalization","severe","alpha","28+",NA,81,"76",85
31,"Ismail","Screening method","12May2021","UK","GBR","Europe",43240,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2",">= 80 years","included","hospitalization","severe","alpha",">14",NA,93,"89",95
32,"Ranzani","Test-negative case-control","20Aug2021","Brazil","BRA","South America",9410,2019,3,"Sinovac CoronaVac","Inactivated","1",">= 70 years","included","symptomatic disease","symptomatic","gamma",">14",NA,12.5,"3.7",20.6
32,"Ranzani","Test-negative case-control","20Aug2021","Brazil","BRA","South America",9410,2019,3,"Sinovac CoronaVac","Inactivated","2",">= 70 years","included","symptomatic disease","symptomatic","gamma",">14",NA,46.8,"38.7",53.8
32,"Ranzani","Test-negative case-control","20Aug2021","Brazil","BRA","South America",9410,2019,3,"Sinovac CoronaVac","Inactivated","1",">= 70 years","included","hospitalization","severe","gamma",">14",NA,16.9,"5.7",26.8
32,"Ranzani","Test-negative case-control","20Aug2021","Brazil","BRA","South America",9410,2019,3,"Sinovac CoronaVac","Inactivated","2",">= 70 years","included","hospitalization","severe","gamma",">14",NA,55.5,"46.5",62.9
32,"Ranzani","Test-negative case-control","20Aug2021","Brazil","BRA","South America",9410,2019,3,"Sinovac CoronaVac","Inactivated","1",">= 70 years","included","death","death","gamma",">14",NA,31.2,"17.6",42.5
32,"Ranzani","Test-negative case-control","20Aug2021","Brazil","BRA","South America",9410,2019,3,"Sinovac CoronaVac","Inactivated","2",">= 70 years","included","death","death","gamma",">14",NA,61.2,"48.9",70.5
33,"PHE","Test-negative case-control","20May2021","UK","GBR","Europe",43240,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","1",">= 65 years","excluded","symptomatic disease","symptomatic","alpha","28+",NA,54,"50",58
33,"PHE","Test-negative case-control","20May2021","UK","GBR","Europe",43240,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2",">= 65 years","excluded","symptomatic disease","symptomatic","alpha",">14",NA,90,"82",95
33,"PHE","Test-negative case-control","20May2021","UK","GBR","Europe",43240,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","1",">= 65 years","excluded","symptomatic disease","symptomatic","alpha","28+",NA,53,"49",57
33,"PHE","Test-negative case-control","20May2021","UK","GBR","Europe",43240,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2",">= 65 years","excluded","symptomatic disease","symptomatic","alpha",">14",NA,89,"78",94
