"","Study_id_f","first author","study design","n_row","publication_date","clean_vaccine","vac_type","dose_number","dose","dose interval","timing_of_dose_days","population_detail","population_category","historyofCOVID","max duration follow-up","outcome_detail","outcome_category","outcome_final","variant_clean","VE","LCL","UCL","country_clean","Country.Code","continent","Region","GNI_per_c_WB","year_GNI","Economy","Income group","q_GNI_per_c_WB","min_period_days","max_period_days","include","justification","sensitivity"
"11",3,"Dagan","Retrospective cohort",11,2021-02-24,"BioNTech/Pfizer BNT162b2","mRNA","1","1",NA,"14-21","general pop","general pop","excluded",NA,"severe disease","severe","severe","other combinations",62,39,80,"Israel","ISR","Asia","Middle East & North Africa",43800,2019,"Israel","High income",4,NA,NA,NA,NA,NA
"12",3,"Dagan","Retrospective cohort",12,2021-02-24,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,">7","general pop","general pop","excluded",NA,"severe disease","severe","severe","other combinations",92,75,100,"Israel","ISR","Asia","Middle East & North Africa",43800,2019,"Israel","High income",4,NA,NA,NA,NA,NA
"13",4,"Hyams","Test-negative case-control",13,2021-11-01,"BioNTech/Pfizer BNT162b2","mRNA","1","1",NA,">14","> 80 years","> 80 years","included",NA,"hospitalization","severe","severe","alpha",79,47,93,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"14",4,"Hyams","Test-negative case-control",14,2021-11-01,"Oxford/AstraZeneca ChAdOx1-S","Vectored","1","1",NA,">14","> 80 years","> 80 years","included",NA,"hospitalization","severe","severe","alpha",80,36,95,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"15",5,"Mousten-Helms","Retrospective cohort",15,2021-03-09,"BioNTech/Pfizer BNT162b2","mRNA","1","1",NA,">14","LTCF residents","LTCF residents","excluded",NA,"infection","infection","infection","other combinations",21,-11,44,"Denmark","DNK","Europe","Europe & Central Asia",63020,2019,"Denmark","High income",4,NA,NA,NA,NA,NA
"16",5,"Mousten-Helms","Retrospective cohort",16,2021-03-09,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,">7","LTCF residents","LTCF residents","excluded",NA,"infection","infection","infection","other combinations",64,14,84,"Denmark","DNK","Europe","Europe & Central Asia",63020,2019,"Denmark","High income",4,NA,NA,NA,NA,NA
"17",5,"Mousten-Helms","Retrospective cohort",17,2021-03-09,"BioNTech/Pfizer BNT162b2","mRNA","1","1",NA,">14","LTCF staff","LTCF staff","excluded",NA,"infection","infection","infection","other combinations",17,4,28,"Denmark","DNK","Europe","Europe & Central Asia",63020,2019,"Denmark","High income",4,NA,NA,NA,NA,NA
"18",5,"Mousten-Helms","Retrospective cohort",18,2021-03-09,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,">7","LTCF staff","LTCF staff","excluded",NA,"infection","infection","infection","other combinations",90,82,95,"Denmark","DNK","Europe","Europe & Central Asia",63020,2019,"Denmark","High income",4,NA,NA,NA,NA,NA
"19",6,"Tande","Retrospective cohort",19,2021-03-11,"Multiple or heterologous RNA","mRNA","1+","1+",NA,">10 including some with dose 2","pre-surgical hospital patients","pre-surgical hospital patients","included",NA,"asymptomatic infection","asymptomatic","infection","original",79,63,88,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"20",6,"Tande","Retrospective cohort",20,2021-03-11,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,">0","pre-surgical hospital patients","pre-surgical hospital patients","included",NA,"asymptomatic infection","asymptomatic","infection","original",80,56,91,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"21",6,"Tande","Retrospective cohort",21,2021-03-11,"BioNTech/Pfizer BNT162b2","mRNA","1","1",NA,">10","pre-surgical hospital patients","pre-surgical hospital patients","included",NA,"asymptomatic infection","asymptomatic","infection","original",79,62,89,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"22",6,"Tande","Retrospective cohort",22,2021-03-11,"Multiple or heterologous RNA","mRNA","2","final",NA,">0","pre-surgical hospital patients","pre-surgical hospital patients","included",NA,"asymptomatic infection","asymptomatic","infection","original",80,56,91,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"23",7,"Britton","Retrospective cohort",23,2021-03-15,"BioNTech/Pfizer BNT162b2","mRNA","1+","1+",NA,">14 including some up to day 7 post dose 2","LTCF residents","LTCF residents","stratified",NA,"infection","infection","infection","original",63,33,79,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"24",7,"Britton","Retrospective cohort",24,2021-03-15,"BioNTech/Pfizer BNT162b2","mRNA","1+","1+",NA,">14 including some up to day 7 post dose 2","LTCF residents","LTCF residents","stratified",NA,"infection","infection","infection","original",60,30,77,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"25",8,"Yelin","Retrospective cohort",25,2021-03-17,"BioNTech/Pfizer BNT162b2","mRNA","1+","1+",NA,">35, most with dose 2","general pop","general pop","excluded",NA,"infection","infection","infection","alpha",91,89,93,"Israel","ISR","Asia","Middle East & North Africa",43800,2019,"Israel","High income",4,NA,NA,NA,NA,NA
"26",8,"Yelin","Retrospective cohort",26,2021-03-17,"BioNTech/Pfizer BNT162b2","mRNA","1+","1+",NA,">35, most with dose 2","general pop","general pop","excluded",NA,"symptomatic disease","symptomatic","symptomatic","alpha",99,95,99,"Israel","ISR","Asia","Middle East & North Africa",43800,2019,"Israel","High income",4,NA,NA,NA,NA,NA
"27",9,"Public Health England","Test-negative case-control",27,2021-03-17,"BioNTech/Pfizer BNT162b2","mRNA","1","1",NA,">28","> 70 years","> 70 years","unknown",NA,"symptomatic disease","symptomatic","symptomatic","alpha",58,49,65,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"28",9,"Public Health England","Test-negative case-control",28,2021-03-17,"Oxford/AstraZeneca ChAdOx1-S","Vectored","1","1",NA,">35","> 70 years","> 70 years","unknown",NA,"symptomatic disease","symptomatic","symptomatic","alpha",58,38,72,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"29",9,"Public Health England","Retrospective cohort",29,2021-03-17,"BioNTech/Pfizer BNT162b2","mRNA","1","1",NA,">14","> 70 years","> 70 years","included",NA,"hospitalization","severe","severe","alpha",42,32,51,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"30",9,"Public Health England","Retrospective cohort",30,2021-03-17,"BioNTech/Pfizer BNT162b2","mRNA","1","1",NA,">14","> 70 years","> 70 years","included",NA,"death","death","death","alpha",54,41,64,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"31",9,"Public Health England","Retrospective cohort",31,2021-03-17,"Oxford/AstraZeneca ChAdOx1-S","Vectored","1","1",NA,"14-21","> 70 years","> 70 years","included",NA,"hospitalization","severe","severe","alpha",35,4,56,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"32",10,"Shrotri","Prospective cohort",32,2021-06-23,"BioNTech/Pfizer BNT162b2","mRNA","1","1",NA,"35-48","LTCF residents","LTCF residents","stratified",NA,"infection","infection","infection","other combinations",65,29,83,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"33",10,"Shrotri","Prospective cohort",33,2021-06-23,"Oxford/AstraZeneca ChAdOx1-S","Vectored","1","1",NA,"35-48","LTCF residents","LTCF residents","stratified",NA,"infection","infection","infection","other combinations",68,34,85,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"34",11,"Thompson","Prospective cohort",34,2021-03-29,"Multiple or heterologous RNA","mRNA","1","1",NA,">14","HCW","HCW","excluded",NA,"infection","infection","infection","original",80,59,90,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"35",11,"Thompson","Prospective cohort",35,2021-03-29,"Multiple or heterologous RNA","mRNA","2","final",NA,">14","HCW","HCW","excluded",NA,"infection","infection","infection","original",90,68,97,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"36",12,"Bouton","Prospective cohort",36,2021-03-30,"Multiple or heterologous RNA","mRNA","1+","1+",NA,">14 including some with dose 2","HCW","HCW","included",NA,"infection","infection","infection","original",82,68,90,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"37",13,"Regev-Yochay","Prospective cohort",37,2021-07-07,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,">11","HCW","HCW","included",NA,"asymptomatic infection","asymptomatic","infection","alpha",65,45,79,"Israel","ISR","Asia","Middle East & North Africa",43800,2019,"Israel","High income",4,NA,NA,NA,NA,NA
"38",13,"Regev-Yochay","Prospective cohort",38,2021-07-07,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,">11","HCW","HCW","included",NA,"asymptomatic infection (presumed infectious ct<30)","asymptomatic","infection","alpha",70,43,84,"Israel","ISR","Asia","Middle East & North Africa",43800,2019,"Israel","High income",4,NA,NA,NA,NA,NA
"39",13,"Regev-Yochay","Prospective cohort",39,2021-07-07,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,">11","HCW","HCW","included",NA,"symptomatic disease","symptomatic","symptomatic","alpha",90,84,94,"Israel","ISR","Asia","Middle East & North Africa",43800,2019,"Israel","High income",4,NA,NA,NA,NA,NA
"40",13,"Regev-Yochay","Prospective cohort",40,2021-07-07,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,">11","HCW","HCW","included",NA,"symptomatic disease  (presumed infectious ct<30)","symptomatic","symptomatic","alpha",88,80,94,"Israel","ISR","Asia","Middle East & North Africa",43800,2019,"Israel","High income",4,NA,NA,NA,NA,NA
"41",14,"Andrejko","Test-negative case-control",41,2021-07-20,"Multiple or heterologous RNA","mRNA","1","1",NA,">=15","general pop","general pop","excluded",NA,"infection","infection","infection","other combinations",66.9,28.7,84.6,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"42",14,"Andrejko","Test-negative case-control",42,2021-07-20,"Multiple or heterologous RNA","mRNA","2","final",NA,">=15","general pop","general pop","excluded",NA,"infection","infection","infection","other combinations",87.4,77.2,93.1,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"43",14,"Andrejko","Test-negative case-control",43,2021-07-20,"Multiple or heterologous RNA","mRNA","2","final",NA,">=15","general pop","general pop","excluded",NA,"asymptomatic infection","asymptomatic","infection","other combinations",68.3,27.9,85.7,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"44",14,"Andrejko","Test-negative case-control",44,2021-07-20,"Multiple or heterologous RNA","mRNA","2","final",NA,">=15","general pop","general pop","excluded",NA,"symptomatic disease","symptomatic","symptomatic","other combinations",91.3,79.3,96.3,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"45",14,"Andrejko","Test-negative case-control",45,2021-07-20,"Multiple or heterologous RNA","mRNA","2","final",NA,">=15","general pop","general pop","excluded",NA,"hospitalization","severe","severe","other combinations",100,NA,NA,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"46",14,"Andrejko","Test-negative case-control",46,2021-07-20,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,">=15","general pop","general pop","excluded",NA,"infection","infection","infection","other combinations",87,68.6,94.6,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"47",14,"Andrejko","Test-negative case-control",47,2021-07-20,"Moderna mRNA-1273","mRNA","2","final",NA,">=15","general pop","general pop","excluded",NA,"infection","infection","infection","other combinations",86.2,68.4,93.9,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"48",15,"Glampson","Retrospective cohort",48,2021-09-17,"BioNTech/Pfizer BNT162b2","mRNA","1","1",NA,"22-28",">= 16 years","general pop","unknown",NA,"infection","infection","infection","alpha",78,73,82,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"49",15,"Glampson","Retrospective cohort",49,2021-09-17,"Oxford/AstraZeneca ChAdOx1-S","Vectored","1","1",NA,"22-28",">= 16 years","general pop","unknown",NA,"infection","infection","infection","alpha",74,65,81,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"50",16,"Bjork","Retrospective cohort",50,2021-09-29,"BioNTech/Pfizer BNT162b2","mRNA","1","1",NA,">14","general pop","general pop","unknown",NA,"infection","infection","infection","other combinations",42,14,63,"Sweden","SWE","Europe","Europe & Central Asia",56230,2019,"Sweden","High income",4,NA,NA,NA,NA,NA
"51",16,"Bjork","Retrospective cohort",51,2021-09-29,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,">7","general pop","general pop","unknown",NA,"infection","infection","infection","other combinations",86,72,94,"Sweden","SWE","Europe","Europe & Central Asia",56230,2019,"Sweden","High income",4,NA,NA,NA,NA,NA
"52",17,"Mason","Case-control",52,2021-10-18,"BioNTech/Pfizer BNT162b2","mRNA","1","1",NA,"21-27","80-83 years","80-83 years","excluded",NA,"infection","infection","infection","alpha",55,40,66,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"53",17,"Mason","Case-control",53,2021-10-18,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"35-41","80-83 years","80-83 years","excluded",NA,"infection","infection","infection","alpha",70,55,80,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"54",17,"Mason","Case-control",54,2021-10-18,"BioNTech/Pfizer BNT162b2","mRNA","1","1",NA,"21-27","80-83 years","80-83 years","excluded",NA,"hospitalization","severe","severe","alpha",50,19,69,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"55",17,"Mason","Case-control",55,2021-10-18,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"35-41","80-83 years","80-83 years","excluded",NA,"hospitalization","severe","severe","alpha",75,52,87,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"56",17,"Mason","Case-control",56,2021-10-18,"BioNTech/Pfizer BNT162b2","mRNA","1","1",NA,"35-41","80-83 years","80-83 years","excluded",NA,"ED or UC visit","symptomatic","symptomatic","alpha",58,31,74,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"57",17,"Mason","Case-control",57,2021-10-18,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"35-41","80-83 years","80-83 years","excluded",NA,"ED or UC visit","symptomatic","symptomatic","alpha",79,60,90,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"58",18,"Hall","Prospective cohort",58,2021-04-23,"BioNTech/Pfizer BNT162b2","mRNA","1","1",NA,">21","HCW","HCW","excluded",NA,"infection","infection","infection","alpha",72,58,86,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"59",18,"Hall","Prospective cohort",59,2021-04-23,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,">7","HCW","HCW","excluded",NA,"infection","infection","infection","alpha",86,76,97,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"60",19,"Vasileiou","Prospective cohort",60,2021-04-23,"BioNTech/Pfizer BNT162b2","mRNA","1","1",NA,"28-34","general pop","general pop","excluded",NA,"hospitalization","severe","severe","other combinations",91,85,94,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"61",19,"Vasileiou","Prospective cohort",61,2021-04-23,"Oxford/AstraZeneca ChAdOx1-S","Vectored","1","1",NA,"28-34","general pop","general pop","excluded",NA,"hospitalization","severe","severe","other combinations",88,75,94,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"62",20,"Pritchard","Prospective cohort",62,2021-06-09,"BioNTech/Pfizer BNT162b2","mRNA","1","1",NA,">21",">= 16 years","general pop","excluded",NA,"infection","infection","infection","other combinations",66,60,71,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"63",20,"Pritchard","Prospective cohort",63,2021-06-09,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,">0",">= 16 years","general pop","excluded",NA,"infection","infection","infection","other combinations",80,74,85,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"64",20,"Pritchard","Prospective cohort",64,2021-06-09,"BioNTech/Pfizer BNT162b2","mRNA","1","1",NA,">21",">= 16 years","general pop","excluded",NA,"symptomatic disease","symptomatic","symptomatic","other combinations",78,72,83,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"65",20,"Pritchard","Prospective cohort",65,2021-06-09,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,">0",">= 16 years","general pop","excluded",NA,"symptomatic disease","symptomatic","symptomatic","other combinations",95,91,98,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"66",20,"Pritchard","Prospective cohort",66,2021-06-09,"Oxford/AstraZeneca ChAdOx1-S","Vectored","1","1",NA,">21",">= 16 years","general pop","excluded",NA,"infection","infection","infection","other combinations",61,54,68,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"67",20,"Pritchard","Prospective cohort",67,2021-06-09,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2","final",NA,">0",">= 16 years","general pop","excluded",NA,"infection","infection","infection","other combinations",79,65,88,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"68",20,"Pritchard","Prospective cohort",68,2021-06-09,"Oxford/AstraZeneca ChAdOx1-S","Vectored","1","1",NA,">21",">= 16 years","general pop","excluded",NA,"symptomatic disease","symptomatic","symptomatic","other combinations",71,62,78,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"69",20,"Pritchard","Prospective cohort",69,2021-06-09,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2","final",NA,">0","general pop","general pop","excluded",NA,"symptomatic disease","symptomatic","symptomatic","other combinations",92,78,97,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"70",21,"Goldberg","Prospective cohort",70,2022-03-30,"BioNTech/Pfizer BNT162b2","mRNA","1+","1+",NA,">14 days post dose 1 to <14 days post dose 2",">= 16 years","general pop","excluded",NA,"infection","infection","infection","alpha",65.9,65.4,66.4,"Israel","ISR","Asia","Middle East & North Africa",43800,2019,"Israel","High income",4,NA,NA,NA,NA,NA
"71",21,"Goldberg","Prospective cohort",71,2022-03-30,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"14+",">= 16 years","general pop","excluded","~8 weeks","infection","infection","infection","alpha",94.5,94.3,94.7,"Israel","ISR","Asia","Middle East & North Africa",43800,2019,"Israel","High income",4,NA,NA,NA,NA,NA
"72",21,"Goldberg","Prospective cohort",72,2022-03-30,"BioNTech/Pfizer BNT162b2","mRNA","1+","1+",NA,">14 days post dose 1 to <14 days post dose 2",">= 16 years","general pop","excluded",NA,"hospitalization","severe","severe","alpha",74.9,73.5,76.3,"Israel","ISR","Asia","Middle East & North Africa",43800,2019,"Israel","High income",4,NA,NA,NA,NA,NA
"73",21,"Goldberg","Prospective cohort",73,2022-03-30,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"14+",">= 16 years","general pop","excluded","~8 weeks","hospitalization","severe","severe","alpha",95.8,95.2,96.2,"Israel","ISR","Asia","Middle East & North Africa",43800,2019,"Israel","High income",4,NA,NA,NA,NA,NA
"74",21,"Goldberg","Prospective cohort",74,2022-03-30,"BioNTech/Pfizer BNT162b2","mRNA","1+","1+",NA,">14 days post dose 1 to <14 days post dose 2",">= 16 years","general pop","excluded",NA,"severe disease","severe","severe","alpha",72.1,69.9,74.1,"Israel","ISR","Asia","Middle East & North Africa",43800,2019,"Israel","High income",4,NA,NA,NA,NA,NA
"75",21,"Goldberg","Prospective cohort",75,2022-03-30,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"14+",">= 16 years","general pop","excluded","~8 weeks","severe disease","severe","severe","alpha",96.3,95.7,96.9,"Israel","ISR","Asia","Middle East & North Africa",43800,2019,"Israel","High income",4,NA,NA,NA,NA,NA
"76",21,"Goldberg","Prospective cohort",76,2022-03-30,"BioNTech/Pfizer BNT162b2","mRNA","1+","1+",NA,">14 days post dose 1 to <14 days post dose 2",">= 16 years","general pop","excluded",NA,"death","death","death","alpha",69.1,65.5,72.3,"Israel","ISR","Asia","Middle East & North Africa",43800,2019,"Israel","High income",4,NA,NA,NA,NA,NA
"77",21,"Goldberg","Prospective cohort",77,2022-03-30,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"14+",">= 16 years","general pop","excluded","~8 weeks","death","death","death","alpha",96,94.9,96.9,"Israel","ISR","Asia","Middle East & North Africa",43800,2019,"Israel","High income",4,NA,NA,NA,NA,NA
"78",22,"Tenforde","Test-negative case-control",78,2021-04-28,"Multiple or heterologous RNA","mRNA","1+","1+",NA,">14 days post dose 1 to 14 days post dose 2","hospital patients >= 65 years",">= 65 years","unknown",NA,"hospitalization","severe","severe","other combinations",64,28,82,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"79",22,"Tenforde","Test-negative case-control",79,2021-04-28,"Multiple or heterologous RNA","mRNA","2","final",NA,">14","hospital patients >= 65 years",">= 65 years","unknown",NA,"hospitalization","severe","severe","other combinations",94,49,99,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"80",23,"Gras-Valenti","Case-control",80,2021-04-29,"BioNTech/Pfizer BNT162b2","mRNA","1","1",NA,">12","HCW","HCW","included",NA,"infection","infection","infection","other combinations",53,1,77,"Spain","ESP","Europe","Europe & Central Asia",30370,2019,"Spain","High income",4,NA,NA,NA,NA,NA
"81",24,"Fabiani","Retrospective cohort",81,2021-04-29,"BioNTech/Pfizer BNT162b2","mRNA","1","1",NA,"14-21","HCW","HCW","excluded",NA,"infection","infection","infection","unknown",84,40,96,"Italy","ITA","Europe","Europe & Central Asia",34890,2019,"Italy","High income",4,NA,NA,NA,NA,NA
"82",24,"Fabiani","Retrospective cohort",82,2021-04-29,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,">7","HCW","HCW","excluded",NA,"infection","infection","infection","unknown",95,62,99,"Italy","ITA","Europe","Europe & Central Asia",34890,2019,"Italy","High income",4,NA,NA,NA,NA,NA
"83",24,"Fabiani","Retrospective cohort",83,2021-04-29,"BioNTech/Pfizer BNT162b2","mRNA","1","1",NA,"14-21","HCW","HCW","excluded",NA,"symptomatic disease","symptomatic","symptomatic","unknown",83,15,97,"Italy","ITA","Europe","Europe & Central Asia",34890,2019,"Italy","High income",4,NA,NA,NA,NA,NA
"84",24,"Fabiani","Retrospective cohort",84,2021-04-29,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,">7","HCW","HCW","excluded",NA,"symptomatic disease","symptomatic","symptomatic","unknown",94,51,99,"Italy","ITA","Europe","Europe & Central Asia",34890,2019,"Italy","High income",4,NA,NA,NA,NA,NA
