"","...1","...2","study ID","first author","study design","publication date","primary series vaccine","historyofCOVID","dose_number","dose","timing_of_dose_days","outcome_detail","outcome_category","country","population_detail","population_category","VE","LCL","UCL","variant_sequenced","variant_context","max duration follow-up","dose interval","notes","country_clean","iso3c","Study_id_f","Country.Code","GNI_per_c_WB","year_GNI","Economy","Region","Income group","q_GNI_per_c_WB","continent","owid_vac_intro","owid_vac_F40","owid_vac_F70","who_vac_intro","min_vac_intro","diff_owid_who_intro","diff_min_vac_intro_1Dec2020","diff_intro_F40","diff_intro_F70","diff_min_vac_intro_1Dec2020_clean","V1_group","V40_group","V1_dummie","V40_dummie","V70_dummie","publication_date","outcome_final","semester","clean_vaccine","vac_type","variant_clean","include_population","inclusion_notes","max_follow_up_days","n_estimates","min_period_days","max_period_days","include","justification","sensitivity","VE1","LCL.1","UCL.1","RR","RR.LCL","RR.UCL","ln.RR","SE.ln.RR"
"23",38,38,315,"Chatzilena","Test-negative case-control","07Dec2022","BNT162b2 (Pfizer BioNTech)","excluded",2,"final","7+","hospitalization","severe","UK",">=18 years","general pop",82.5,76.2,87.2,NA,"delta","~56 weeks",NA,NA,"UK","GBR",315,"GBR",49370,2019,"United Kingdom","Europe & Central Asia","High income",4,"Europe","10/01/2021","04/06/2021","23/12/2021","21/12/2020","21/12/2020",20,20,165,367,20,"<30","<180","yes","yes","yes","07/12/2022","severe","2022 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,392,3,7,392,"yes",NA,0,82.5,76.2,87.2,0.175,0.128,0.238,-1.74296930505862,0.158224594324453
"24",41,41,326,"Lin","Retrospective cohort","26Sep2022","BNT162b2 (Pfizer BioNTech)","included",2,"final","~25 weeks","hospitalization","severe","USA",">=5 years","general pop",85.8,83.4,87.8,NA,"delta","~25 weeks",NA,"Persons vaccinated between July 2021 and June 2022. The study includes additional VE estimates for individuals vaccinated between December 2020 and March 2021 and between April 2021 and June 2021","USA","USA",326,"USA",66120,2019,"United States","North America","High income",4,"North America","13/12/2020","14/05/2021",NA,"14/12/2020","13/12/2020",-1,12,152,NA,12,"<30","<180","yes","yes","no","26/09/2022","severe","2022 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,175,2,NA,175,"yes",NA,0,85.8,83.4,87.8,0.142,0.122,0.166,-1.95192822138088,0.0785629448018587
"25",43,43,336,"Embi","Test-negative case-control","22May2023","BNT162b2 (Pfizer BioNTech)","included",2,"final","14-149","hospitalization with COVID-like illness","severe","USA","immunocompetent adults >=18 years","immunocompetent adults",90,88,91,NA,"delta","~46 weeks",NA,NA,"USA","USA",336,"USA",66120,2019,"United States","North America","High income",4,"North America","13/12/2020","14/05/2021",NA,"14/12/2020","13/12/2020",-1,12,152,NA,12,"<30","<180","yes","yes","no","22/05/2023","severe","2023 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,322,2,14,149,"yes",NA,0,90,88,91,0.1,0.09,0.12,-2.30258509299405,0.0733882837887197
"26",45,45,387,"Altarawneh","Test-negative case-control","27Jul2023","BNT162b2 (Pfizer BioNTech)","excluded",2,"final","14+","severe, critical or fatal disease","severe","Qatar","all ages","general pop",91.1,86.3,94.2,NA,"delta","~48 weeks",NA,NA,"Qatar","QAT",387,"QAT",92300,2019,"Qatar","Middle East & North Africa","High income",4,"Asia","28/01/2021","31/05/2021","16/08/2021",NA,"28/01/2021",NA,58,123,200,58,"30-59","<180","yes","yes","yes","27/07/2023","severe","2023 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,336,1,14,336,"yes",NA,0,91.1,86.3,94.2,0.0890000000000001,0.0579999999999999,0.137,-2.41911890925,0.219269876347374
"27",46,46,418,"Paternina-Caicedo","Test-negative case-control","09Sep2023","BNT162b2 (Pfizer BioNTech)","excluded",2,"final","14+","hospitalization","severe","Colombia",">=5 years","general pop",91,79,96,NA,"delta","~36 weeks",NA,NA,"Colombia","COL",418,"COL",15530,2019,"Colombia","Latin America & Caribbean","Upper middle income",3,"South America","18/02/2021","26/10/2021","29/07/2022","17/02/2021","17/02/2021",1,78,251,527,78,"60-89","180-269","yes","yes","no","09/09/2023","severe","2023 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,252,1,14,252,"yes",NA,0,91,79,96,0.09,0.04,0.21,-2.40794560865187,0.423017366480493
"28",47,47,422,"Mimura","Retrospective cohort","23Sep2023","BNT162b2 (Pfizer BioNTech)","excluded",2,"final","7+","hospitalization","severe","Japan",">=65 years",">=65 years",93.5,83.7,100,NA,"delta","~22 weeks",NA,NA,"Japan","JPN",422,"JPN",43970,2019,"Japan","East Asia & Pacific","High income",4,"Asia","22/02/2021","11/08/2021","16/10/2021","17/02/2021","17/02/2021",5,78,175,241,78,"60-89","<180","yes","yes","yes","23/09/2023","severe","2023 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,154,1,7,154,"yes",NA,1,93.5,83.7,99.9,0.0649999999999999,0.00099999999999989,0.163,-2.7333680090865,1.29942607163441
"29",48,48,426,"Hernandez-Avila","Test-negative case-control","19Oct2023","BNT162b2 (Pfizer BioNTech)","excluded",2,"final","<91","hospitalization with ARI","severe","Mexico",">=65 years",">=65 years",87.5,84.9,89.7,NA,"delta","~33 weeks",NA,NA,"Mexico","MEX",426,"MEX",19630,2019,"Mexico","Latin America & Caribbean","Upper middle income",3,"North America","27/12/2020","18/10/2021",NA,"24/12/2020","24/12/2020",3,23,298,NA,23,"<30","270-359","yes","yes","no","19/10/2023","severe","2023 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,231,4,NA,91,"yes",NA,1,87.5,84.9,89.7,0.125,0.103,0.151,-2.07944154167984,0.0975895021901245
"30",52,52,92,"Grannis","Test-negative case-control","10Sept2021","Ad26.COV2.S (Janssen)","included",1,"final","14+","hospitalization","severe","USA",">= 18 years","general pop",60,31,77,NA,"delta","4 weeks",NA,NA,"USA","USA",92,"USA",66120,2019,"United States","North America","High income",4,"North America","13/12/2020","14/05/2021",NA,"14/12/2020","13/12/2020",-1,12,152,NA,12,"<30","<180","yes","yes","no","10/09/2021","severe","2021 (Jul-Dec)","Janssen Ad26.COV2.S","Vectored","delta","yes",NA,28,1,14,28,"yes",NA,0,60,31,77,0.4,0.23,0.69,-0.916290731874155,0.28025823690513
"31",53,53,93,"Polinski","Retrospective cohort","17Mar2022","Ad26.COV2.S (Janssen)","excluded",1,"final","14+","hospitalization (June-July)","severe","USA",">= 18 years","general pop",81,75,86,NA,"delta","~14 weeks",NA,NA,"USA","USA",93,"USA",66120,2019,"United States","North America","High income",4,"North America","13/12/2020","14/05/2021",NA,"14/12/2020","13/12/2020",-1,12,152,NA,12,"<30","<180","yes","yes","no","17/03/2022","severe","2022 (Jan-Jun)","Janssen Ad26.COV2.S","Vectored","delta","yes",NA,98,1,14,98,"yes",NA,0,81,75,86,0.19,0.14,0.25,-1.66073120682165,0.147912881442077
"32",54,54,174,"Lytras","Retrospective cohort","14Jun2022","Ad26.COV2.S (Janssen)","included",1,"final","14+","intubation","severe","Greece","15-59 years","15-59 years",85,73.9,91.4,NA,"delta","~48 weeks",NA,NA,"Greece","GRC",174,"GRC",30860,2019,"Greece","Europe & Central Asia","High income",3,"Europe","29/12/2020","09/07/2021","24/01/2022","23/12/2020","23/12/2020",6,22,198,397,22,"<30","180-269","yes","yes","yes","14/06/2022","severe","2022 (Jan-Jun)","Janssen Ad26.COV2.S","Vectored","delta","yes",NA,336,6,14,336,"yes",NA,0,85,73.9,91.4,0.15,0.086,0.261,-1.89711998488588,0.28320742629316
"33",56,56,174,"Lytras","Retrospective cohort","14Jun2022","Ad26.COV2.S (Janssen)","included",1,"final","14+","intubation","severe","Greece","60-79 years","60-79 years",79.6,65.2,88,NA,"delta","~48 weeks",NA,NA,"Greece","GRC",174,"GRC",30860,2019,"Greece","Europe & Central Asia","High income",3,"Europe","29/12/2020","09/07/2021","24/01/2022","23/12/2020","23/12/2020",6,22,198,397,22,"<30","180-269","yes","yes","yes","14/06/2022","severe","2022 (Jan-Jun)","Janssen Ad26.COV2.S","Vectored","delta","yes",NA,336,6,14,336,"yes",NA,1,79.6,65.2,88,0.204,0.12,0.348,-1.58963528513792,0.271609881885824
"34",58,58,174,"Lytras","Retrospective cohort","14Jun2022","Ad26.COV2.S (Janssen)","included",1,"final","14+","intubation","severe","Greece",">= 80 years",">= 80 years",85,62.3,94,NA,"delta","~48 weeks",NA,NA,"Greece","GRC",174,"GRC",30860,2019,"Greece","Europe & Central Asia","High income",3,"Europe","29/12/2020","09/07/2021","24/01/2022","23/12/2020","23/12/2020",6,22,198,397,22,"<30","180-269","yes","yes","yes","14/06/2022","severe","2022 (Jan-Jun)","Janssen Ad26.COV2.S","Vectored","delta","yes",NA,336,6,14,336,"yes",NA,1,85,62.3,94,0.15,0.0600000000000001,0.377,-1.89711998488588,0.468852200312732
"35",60,60,194,"Smid","Retrospective cohort","15Oct2022","Ad26.COV2.S (Janssen)","included",1,"final","14-74","hospitalization","severe","Czech Republic","all ages","general pop",54,39,65,NA,"delta","~54 weeks",NA,NA,"Czech Republic","CZE",194,"CZE",41530,2019,"Czechia","Europe & Central Asia","High income",4,"Europe","27/12/2020","16/07/2021",NA,"23/12/2020","23/12/2020",4,22,205,NA,22,"<30","180-269","yes","yes","no","15/10/2022","severe","2022 (Jul-Dec)","Janssen Ad26.COV2.S","Vectored","delta","yes",NA,378,2,14,74,"yes",NA,0,54,39,65,0.46,0.35,0.61,-0.776528789498996,0.14171576599079
"36",62,62,235,"Voko","Retrospective cohort","22Jul2022","Ad26.COV2.S (Janssen)","included",1,"final","14-120","hospitalization","severe","Hungary","18-64 years","18-64 years",43.2,32.9,52,NA,"delta","~47 weeks",NA,NA,"Hungary","HUN",235,"HUN",33630,2019,"Hungary","Europe & Central Asia","High income",4,"Europe","28/12/2020","05/06/2021",NA,"23/12/2020","23/12/2020",5,22,164,NA,22,"<30","<180","yes","yes","no","22/07/2022","severe","2022 (Jul-Dec)","Janssen Ad26.COV2.S","Vectored","delta","yes",NA,329,2,14,120,"yes",NA,0,43.2,32.9,52,0.568,0.48,0.671,-0.565633860260986,0.085454855374935
"37",64,64,267,"Lewis","Test-negative case-control","08Jun2022","Ad26.COV2.S (Janssen)","included",1,"final","14+","hospitalization","severe","USA","hospitalized adults","general pop",72,64,78,NA,"delta","~39.5 weeks",NA,NA,"USA","USA",267,"USA",66120,2019,"United States","North America","High income",4,"North America","13/12/2020","14/05/2021",NA,"14/12/2020","13/12/2020",-1,12,152,NA,12,"<30","<180","yes","yes","no","08/06/2022","severe","2022 (Jan-Jun)","Janssen Ad26.COV2.S","Vectored","delta","yes",NA,276.5,1,14,276.5,"yes",NA,0,72,64,78,0.28,0.22,0.36,-1.27296567581289,0.125631756402499
"38",65,65,311,"Monge","Case cohort","02Sept2022","Ad26.COV2.S (Janssen)","included",1,"final","14+","hospitalization","severe","Spain","50-59 years","50-59 years",86,83,89,NA,"delta","~21 weeks",NA,NA,"Spain","ESP",311,"ESP",43160,2019,"Spain","Europe & Central Asia","High income",4,"Europe","04/01/2021","04/07/2021","31/08/2021","30/12/2020","30/12/2020",5,29,186,244,29,"<30","180-269","yes","yes","yes","02/09/2022","severe","2022 (Jul-Dec)","Janssen Ad26.COV2.S","Vectored","delta","yes",NA,147,1,14,147,"yes",NA,0,86,83,89,0.14,0.11,0.17,-1.96611285637283,0.111050528382104
"39",66,66,326,"Lin","Retrospective cohort","26Sep2022","Ad26.COV2.S (Janssen)","included",2,"final","~20 weeks","hospitalization","severe","USA",">=5 years","general pop",77.9,72.2,82.4,NA,"delta","~20 weeks",NA,"Note: this study includes additional VE estimates for individuals vaccinated during different time periods","USA","USA",326,"USA",66120,2019,"United States","North America","High income",4,"North America","13/12/2020","14/05/2021",NA,"14/12/2020","13/12/2020",-1,12,152,NA,12,"<30","<180","yes","yes","no","26/09/2022","severe","2022 (Jul-Dec)","Janssen Ad26.COV2.S","Vectored","delta","yes",NA,140,2,NA,140,"yes",NA,0,77.9,72.2,82.4,0.221,0.176,0.278,-1.50959257746438,0.116616611901144
