"","study ID","first author","study design","publication date","primary series vaccine","historyofCOVID","dose_number","dose","timing_of_dose_days","outcome_detail","outcome_category","country","population_detail","population_category","VE","LCL","UCL","variant_sequenced","variant_context","max duration follow-up","dose interval","notes","country_clean","iso3c","Study_id_f","Country.Code","GNI_per_c_WB","year_GNI","Economy","Region","Income group","q_GNI_per_c_WB","continent","owid_vac_intro","owid_vac_F40","owid_vac_F70","who_vac_intro","min_vac_intro","diff_owid_who_intro","diff_intro_F40","diff_intro_F70","V1_date_group","V40_date_group","V40_group","V1_dummy","V40_dummy","V70_dummy","publication_date","outcome_final","semester","clean_vaccine","vac_type","variant_clean","include_population","inclusion_notes","clean_vaccine_dose"
"20",174,"Lytras","Retrospective cohort","14Jun2022","BNT162b2 (Pfizer BioNTech)","included","2","final","6 months","death","death","Greece","60-79 years","60-79 years",89.4,87.9,90.8,NA,"delta","~48 weeks",NA,NA,"Greece","GRC",174,"GRC",19690,2019,"Greece","Europe & Central Asia","High income",3,"Europe",2020-12-29,2021-07-09,2022-01-24,2020-12-23,2020-12-23,6,198,397,"before jan/2021","Jun-Aug/2021","180-269","yes","yes","yes",2022-06-14,"death","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,"BioNTech/Pfizer BNT162b2 x 2"
"21",174,"Lytras","Retrospective cohort","14Jun2022","BNT162b2 (Pfizer BioNTech)","included","2","final","14+","death","death","Greece",">= 80 years",">= 80 years",91,88.4,93,NA,"delta","~48 weeks",NA,NA,"Greece","GRC",174,"GRC",19690,2019,"Greece","Europe & Central Asia","High income",3,"Europe",2020-12-29,2021-07-09,2022-01-24,2020-12-23,2020-12-23,6,198,397,"before jan/2021","Jun-Aug/2021","180-269","yes","yes","yes",2022-06-14,"death","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,"BioNTech/Pfizer BNT162b2 x 2"
"22",174,"Lytras","Retrospective cohort","14Jun2022","BNT162b2 (Pfizer BioNTech)","included","2","final","6 months","death","death","Greece",">= 80 years",">= 80 years",84,82.2,85.6,NA,"delta","~48 weeks",NA,NA,"Greece","GRC",174,"GRC",19690,2019,"Greece","Europe & Central Asia","High income",3,"Europe",2020-12-29,2021-07-09,2022-01-24,2020-12-23,2020-12-23,6,198,397,"before jan/2021","Jun-Aug/2021","180-269","yes","yes","yes",2022-06-14,"death","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,"BioNTech/Pfizer BNT162b2 x 2"
"23",235,"Voko","Retrospective cohort","22Jul2022","BNT162b2 (Pfizer BioNTech)","included","2","final","14-120","death","death","Hungary","18-64 years","18-64 years",87.4,81.5,91.5,NA,"delta","~47 weeks",NA,NA,"Hungary","HUN",235,"HUN",16570,2019,"Hungary","Europe & Central Asia","High income",3,"Europe",2020-12-28,2021-06-05,NA,2020-12-23,2020-12-23,5,164,NA,"before jan/2021","Jun-Aug/2021","<180","yes","yes","no",2022-07-22,"death","2022 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,"BioNTech/Pfizer BNT162b2 x 2"
"24",235,"Voko","Retrospective cohort","22Jul2022","BNT162b2 (Pfizer BioNTech)","included","2","final","240+","death","death","Hungary","18-64 years","18-64 years",73.6,61.1,82.1,NA,"delta","~47 weeks",NA,NA,"Hungary","HUN",235,"HUN",16570,2019,"Hungary","Europe & Central Asia","High income",3,"Europe",2020-12-28,2021-06-05,NA,2020-12-23,2020-12-23,5,164,NA,"before jan/2021","Jun-Aug/2021","<180","yes","yes","no",2022-07-22,"death","2022 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,"BioNTech/Pfizer BNT162b2 x 2"
"25",311,"Monge","Case cohort","02Sept2022","BNT162b2 (Pfizer BioNTech)","included","2","final","14+","death","death","Spain","50-59 years","50-59 years",97,93,99,NA,"delta","~21 weeks",NA,NA,"Spain","ESP",311,"ESP",30370,2019,"Spain","Europe & Central Asia","High income",4,"Europe",2021-01-04,2021-07-04,2021-08-31,2020-12-30,2020-12-30,5,186,244,"before jan/2021","Jun-Aug/2021","180-269","yes","yes","yes",2022-09-02,"death","2022 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,"BioNTech/Pfizer BNT162b2 x 2"
"26",326,"Lin","Retrospective cohort","26Sep2022","BNT162b2 (Pfizer BioNTech)","included","2","final","~25 weeks","death","death","USA",">=5 years","general pop",89.6,87,91.6,NA,"delta","~25 weeks",NA,"Note: this study includes additional VE estimates for individuals vaccinated during different time periods","USA","USA",326,"USA",66220,2019,"United States","North America","High income",4,"North America",2020-12-13,2021-05-14,NA,2020-12-14,2020-12-13,-1,152,NA,"before jan/2021","before Jun/2021","<180","yes","yes","no",2022-09-26,"death","2022 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,"BioNTech/Pfizer BNT162b2 x 2"
"27",326,"Lin","Retrospective cohort","26Sep2022","BNT162b2 (Pfizer BioNTech)","included","2","final","~38 weeks","death","death","USA",">=5 years","general pop",77.4,70.6,82.6,NA,"delta","~38 weeks",NA,"Note: this study includes additional VE estimates for individuals vaccinated during different time periods","USA","USA",326,"USA",66220,2019,"United States","North America","High income",4,"North America",2020-12-13,2021-05-14,NA,2020-12-14,2020-12-13,-1,152,NA,"before jan/2021","before Jun/2021","<180","yes","yes","no",2022-09-26,"death","2022 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,"BioNTech/Pfizer BNT162b2 x 2"
"28",426,"Hernandez-Avila","Test-negative case-control","19Oct2023","BNT162b2 (Pfizer BioNTech)","excluded","2","final","<91","death","death","Mexico",">=65 years",">=65 years",90.3,87.7,92.4,NA,"delta","~33 weeks",NA,NA,"Mexico","MEX",426,"MEX",9860,2019,"Mexico","Latin America & Caribbean","Upper middle income",3,"North America",2020-12-27,2021-10-18,NA,2020-12-24,2020-12-24,3,298,NA,"before jan/2021","Sep-Nov/2021","270-359","yes","yes","no",2023-10-19,"death","2023 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,"BioNTech/Pfizer BNT162b2 x 2"
"29",426,"Hernandez-Avila","Test-negative case-control","19Oct2023","BNT162b2 (Pfizer BioNTech)","excluded","2","final","141+","death","death","Mexico",">=65 years",">=65 years",85.7,82.8,88.2,NA,"delta","~33 weeks",NA,NA,"Mexico","MEX",426,"MEX",9860,2019,"Mexico","Latin America & Caribbean","Upper middle income",3,"North America",2020-12-27,2021-10-18,NA,2020-12-24,2020-12-24,3,298,NA,"before jan/2021","Sep-Nov/2021","270-359","yes","yes","no",2023-10-19,"death","2023 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,"BioNTech/Pfizer BNT162b2 x 2"
"30",433,"Szekanecz","Retrospective cohort","02Nov2023","BNT162b2 (Pfizer BioNTech)","included","2","final","14-120","death","death","Hungary","non-immunocompromised adults 18-84 years","immunocompetent adults",74.9,64.6,82.2,NA,"delta","~32 weeks",NA,NA,"Hungary","HUN",433,"HUN",16570,2019,"Hungary","Europe & Central Asia","High income",3,"Europe",2020-12-28,2021-06-05,NA,2020-12-23,2020-12-23,5,164,NA,"before jan/2021","Jun-Aug/2021","<180","yes","yes","no",2023-11-02,"death","2023 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,"BioNTech/Pfizer BNT162b2 x 2"
"31",433,"Szekanecz","Retrospective cohort","02Nov2023","BNT162b2 (Pfizer BioNTech)","included","2","final","181-240","death","death","Hungary","non-immunocompromised adults 18-84 years","immunocompetent adults",80.8,76.6,84.2,NA,"delta","~32 weeks",NA,NA,"Hungary","HUN",433,"HUN",16570,2019,"Hungary","Europe & Central Asia","High income",3,"Europe",2020-12-28,2021-06-05,NA,2020-12-23,2020-12-23,5,164,NA,"before jan/2021","Jun-Aug/2021","<180","yes","yes","no",2023-11-02,"death","2023 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,"BioNTech/Pfizer BNT162b2 x 2"
"32",174,"Lytras","Retrospective cohort","14Jun2022","Ad26.COV2.S (Janssen)","included","1","final","14+","death","death","Greece","15-59 years","15-59 years",81.7,57.5,92.1,NA,"delta","~48 weeks",NA,NA,"Greece","GRC",174,"GRC",19690,2019,"Greece","Europe & Central Asia","High income",3,"Europe",2020-12-29,2021-07-09,2022-01-24,2020-12-23,2020-12-23,6,198,397,"before jan/2021","Jun-Aug/2021","180-269","yes","yes","yes",2022-06-14,"death","2022 (Jan-Jun)","Janssen Ad26.COV2.S","Vectored","delta","yes",NA,"Janssen Ad26.COV2.S x 1"
"33",174,"Lytras","Retrospective cohort","14Jun2022","Ad26.COV2.S (Janssen)","included","1","final","6 months","death","death","Greece","15-59 years","15-59 years",90.7,77.2,96.2,NA,"delta","~48 weeks",NA,NA,"Greece","GRC",174,"GRC",19690,2019,"Greece","Europe & Central Asia","High income",3,"Europe",2020-12-29,2021-07-09,2022-01-24,2020-12-23,2020-12-23,6,198,397,"before jan/2021","Jun-Aug/2021","180-269","yes","yes","yes",2022-06-14,"death","2022 (Jan-Jun)","Janssen Ad26.COV2.S","Vectored","delta","yes",NA,"Janssen Ad26.COV2.S x 1"
"34",174,"Lytras","Retrospective cohort","14Jun2022","Ad26.COV2.S (Janssen)","included","1","final","14+","death","death","Greece","60-79 years","60-79 years",69.1,43.2,83.2,NA,"delta","~48 weeks",NA,NA,"Greece","GRC",174,"GRC",19690,2019,"Greece","Europe & Central Asia","High income",3,"Europe",2020-12-29,2021-07-09,2022-01-24,2020-12-23,2020-12-23,6,198,397,"before jan/2021","Jun-Aug/2021","180-269","yes","yes","yes",2022-06-14,"death","2022 (Jan-Jun)","Janssen Ad26.COV2.S","Vectored","delta","yes",NA,"Janssen Ad26.COV2.S x 1"
"35",174,"Lytras","Retrospective cohort","14Jun2022","Ad26.COV2.S (Janssen)","included","1","final","6 months","death","death","Greece","60-79 years","60-79 years",84.3,67.9,92.3,NA,"delta","~48 weeks",NA,NA,"Greece","GRC",174,"GRC",19690,2019,"Greece","Europe & Central Asia","High income",3,"Europe",2020-12-29,2021-07-09,2022-01-24,2020-12-23,2020-12-23,6,198,397,"before jan/2021","Jun-Aug/2021","180-269","yes","yes","yes",2022-06-14,"death","2022 (Jan-Jun)","Janssen Ad26.COV2.S","Vectored","delta","yes",NA,"Janssen Ad26.COV2.S x 1"
"36",174,"Lytras","Retrospective cohort","14Jun2022","Ad26.COV2.S (Janssen)","included","1","final","14+","death","death","Greece",">= 80 years",">= 80 years",61.9,43.2,74.4,NA,"delta","~48 weeks",NA,NA,"Greece","GRC",174,"GRC",19690,2019,"Greece","Europe & Central Asia","High income",3,"Europe",2020-12-29,2021-07-09,2022-01-24,2020-12-23,2020-12-23,6,198,397,"before jan/2021","Jun-Aug/2021","180-269","yes","yes","yes",2022-06-14,"death","2022 (Jan-Jun)","Janssen Ad26.COV2.S","Vectored","delta","yes",NA,"Janssen Ad26.COV2.S x 1"
"37",174,"Lytras","Retrospective cohort","14Jun2022","Ad26.COV2.S (Janssen)","included","1","final","6 months","death","death","Greece",">= 80 years",">= 80 years",80.6,59.7,90.7,NA,"delta","~48 weeks",NA,NA,"Greece","GRC",174,"GRC",19690,2019,"Greece","Europe & Central Asia","High income",3,"Europe",2020-12-29,2021-07-09,2022-01-24,2020-12-23,2020-12-23,6,198,397,"before jan/2021","Jun-Aug/2021","180-269","yes","yes","yes",2022-06-14,"death","2022 (Jan-Jun)","Janssen Ad26.COV2.S","Vectored","delta","yes",NA,"Janssen Ad26.COV2.S x 1"
"38",235,"Voko","Retrospective cohort","22Jul2022","Ad26.COV2.S (Janssen)","included","1","final","14-120","death","death","Hungary","18-64 years","18-64 years",59.8,35.2,75.1,NA,"delta","~47 weeks",NA,NA,"Hungary","HUN",235,"HUN",16570,2019,"Hungary","Europe & Central Asia","High income",3,"Europe",2020-12-28,2021-06-05,NA,2020-12-23,2020-12-23,5,164,NA,"before jan/2021","Jun-Aug/2021","<180","yes","yes","no",2022-07-22,"death","2022 (Jul-Dec)","Janssen Ad26.COV2.S","Vectored","delta","yes",NA,"Janssen Ad26.COV2.S x 1"
"39",235,"Voko","Retrospective cohort","22Jul2022","Ad26.COV2.S (Janssen)","included","1","final","181-240","death","death","Hungary","18-64 years","18-64 years",76.1,56.7,86.8,NA,"delta","~47 weeks",NA,NA,"Hungary","HUN",235,"HUN",16570,2019,"Hungary","Europe & Central Asia","High income",3,"Europe",2020-12-28,2021-06-05,NA,2020-12-23,2020-12-23,5,164,NA,"before jan/2021","Jun-Aug/2021","<180","yes","yes","no",2022-07-22,"death","2022 (Jul-Dec)","Janssen Ad26.COV2.S","Vectored","delta","yes",NA,"Janssen Ad26.COV2.S x 1"
"40",311,"Monge","Case cohort","02Sept2022","Ad26.COV2.S (Janssen)","included","1","final","14+","death","death","Spain","50-59 years","50-59 years",89,64,97,NA,"delta","~21 weeks",NA,NA,"Spain","ESP",311,"ESP",30370,2019,"Spain","Europe & Central Asia","High income",4,"Europe",2021-01-04,2021-07-04,2021-08-31,2020-12-30,2020-12-30,5,186,244,"before jan/2021","Jun-Aug/2021","180-269","yes","yes","yes",2022-09-02,"death","2022 (Jul-Dec)","Janssen Ad26.COV2.S","Vectored","delta","yes",NA,"Janssen Ad26.COV2.S x 1"
"41",174,"Lytras","Retrospective cohort","14Jun2022","mRNA-1273 (Moderna)","included","2","final","14+","death","death","Greece","15-59 years","15-59 years",99.3,94.7,99.9,NA,"delta","~48 weeks",NA,NA,"Greece","GRC",174,"GRC",19690,2019,"Greece","Europe & Central Asia","High income",3,"Europe",2020-12-29,2021-07-09,2022-01-24,2020-12-23,2020-12-23,6,198,397,"before jan/2021","Jun-Aug/2021","180-269","yes","yes","yes",2022-06-14,"death","2022 (Jan-Jun)","Moderna mRNA-1273","mRNA","delta","yes",NA,"Moderna mRNA-1273 x 2"
"42",174,"Lytras","Retrospective cohort","14Jun2022","mRNA-1273 (Moderna)","included","2","final","6 months","death","death","Greece","15-59 years","15-59 years",98.3,88.3,99.8,NA,"delta","~48 weeks",NA,NA,"Greece","GRC",174,"GRC",19690,2019,"Greece","Europe & Central Asia","High income",3,"Europe",2020-12-29,2021-07-09,2022-01-24,2020-12-23,2020-12-23,6,198,397,"before jan/2021","Jun-Aug/2021","180-269","yes","yes","yes",2022-06-14,"death","2022 (Jan-Jun)","Moderna mRNA-1273","mRNA","delta","yes",NA,"Moderna mRNA-1273 x 2"
"43",174,"Lytras","Retrospective cohort","14Jun2022","mRNA-1273 (Moderna)","included","2","final","14+","death","death","Greece","60-79 years","60-79 years",98.4,95.5,99.5,NA,"delta","~48 weeks",NA,NA,"Greece","GRC",174,"GRC",19690,2019,"Greece","Europe & Central Asia","High income",3,"Europe",2020-12-29,2021-07-09,2022-01-24,2020-12-23,2020-12-23,6,198,397,"before jan/2021","Jun-Aug/2021","180-269","yes","yes","yes",2022-06-14,"death","2022 (Jan-Jun)","Moderna mRNA-1273","mRNA","delta","yes",NA,"Moderna mRNA-1273 x 2"
